"Alert Email Sender","Expéditeur du courriel d'alertes"
"Alert subscription was deleted successfully","L'inscription à l'alerte a été effacé"
"Alert subscription was saved successfully","L'inscription à l'alerte a été sauvegardé"
"Allow alert when product comes back in stock","Autoriser l'alerte quand le produit est de nouveau disponible"
"Allow alert when product price changes","Autoriser l'alerte quand le prix du produit change"
"Click here not to receive alerts for this product","Cliquez ici pour ne plus recevoir d'alerte pour ce produit"
"Error Email Recipient","Destinataire du courriel d'erreurs"
"Error Email Sender","Expéditeur du courriel d'erreurs"
"Error Email Template","Gabarit du courriel d'erreur"
"Frequency","Fréquence"
"Not enough parameters","Pas assez de paramètres"
"Please try again later","Veuillez réessayer plus tard"
"Price alert Email Template","Gabarit du courriel d'alerte de prix"
"Price:","Prix:"
"Product Alerts","Alertes du produit"
"Product Alerts Run Settings","Paramétrage d'exécution des alertes de produit"
"Product alerts Cron error","Erreur de cron pour les alertes produits"
"Product not found","Produit introuvable"
"Product price alert","Alerte de prix produit"
"Product stock alert","Alerte de disponibilité de produit"
"Sign up for price alert","Inscrivez-vous pour recevoir une alerte de modification de prix"
"Sign up to get notified when this product is back in stock","Inscrivez-vous pour être averti quand le produit sera de nouveau disponible"
"Special price:","Prix promotionnel :"
"Start Time","Heure de début"
"Stock alert Email Template","Gabarit du courriel d'alerte de disponibilité"
"Unsubscribe from all price alerts","Se désinscrire de toutes les alertes de prix"
"Unsubscribe from all stock alerts","Se désinscrire de toutes les alertes de disponibilité"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Vous recevez cette alerte parce que vous avez demandé à être alerté quand les produits suivants sont de nouveau disponibles :"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Vous recevez cette alerte parce que vous avez demandé à être alerté quand les produits suivants sont modifiés :"
"You will no longer receive price alerts for this product","Vous ne recevrez plus d'alertes prix pour ce produit"
"You will no longer receive stock alerts","Vous ne recevrez plus d'alertes de disponibilité"
"You will no longer receive stock alerts for this product","Vous ne recevrez plus d'alertes de disponibilité pour ce produit"
