"%d Review(s)","%d Commentaire(s)"
"%s Review(s)","%s Commentaire(s)"
"(Posted on %s)","(Posté le %s)"
"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Add New Review","Ajouter nouveau commentaire"
"Add Your Review","Ajoutez votre commentaire"
"Administrator","Administrateur"
"All Reviews","Tous les commentaires"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Êtes-vous certain de vouloir faire cela ?"
"Are you sure?","Etes-vous certain ?"
"Average Customer Rating","Evaluation moyenne"
"Average Customer Rating:","Evaluation moyenne des clients:"
"Back","Retour"
"Back to Main Product Info","Retour à la fiche du produit"
"Back to My Reviews","Retour à mes commentaires"
"Back to Product Reviews","Retour aux commentaires"
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Created On","Créé le"
"Customer","Client"
"Customer Reviews","Commentaires des clients"
"Delete","Supprimer"
"Delete Review","Supprimer le commentaire"
"Detailed Rating","Evaluation détaillée"
"Edit Review '%s'","Éditer le commentaire '%s'"
"Guest","Invité"
"How do you rate this product?","Quelle évaluation donneriez-vous à ce produit ?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Mes commentaires"
"My Recent Reviews","Mes derniers commentaires:"
"Name","Nom (usage interne)"
"Name In Store","Nom dans le magasin."
"New Review","Nouveau commentaire"
"Nickname","Pseudo"
"Pending Reviews","Commentaires en attente"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Veuillez sélectionner un produit"
"Please select one of each of the ratings above","Veuillez sélectionner une évaluation de chaque parmi les suivantes"
"Posted By","Posté par"
"Price","Prix"
"Product","Produit"
"Product Name","Nom produit"
"Product Rating","Evaluation du produit"
"Product Rating:","Evaluation du produit:"
"Product Review (submitted on %s):","<strong>Commentaire</strong> (posté le %s):"
"Product Reviews","Commentaires"
"Product SKU","SKU produit"
"Qty","Qté"
"Rating:","Evaluation:"
"Review","Commentaire"
"Review Details","Détail du commentaire"
"Review by %s","par <em>%s</em>"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU"
"Save Review","Sauvegarder le commentaire"
"Status","Statut"
"Submit Review","Poster le commentaire"
"Summary Rating","Aperçu des évaluations"
"Summary of Review","Sommaire des commentaires"
"Summary of Your Review","Résumé de votre commentaire"
"Summary of review","Sommaire des commentaires"
"Title","Titre"
"Type","Type"
"Unable to post review. Please, try again later.","Impossible de poster le commentaire. Veuillez réessayer ultérieurement."
"Update status","Mettre à jour le statut"
"View All Reviews","Voir tous les commentaires"
"View Details","Voir les détails"
"Visible In","Visible dans"
"Websites","Websites"
"Write Your Own Review","Rédigez votre propre commentaire"
"You have submitted no reviews.","Vous n'avez posté aucun commentaire"
"You're reviewing: %s","Vous commentez : %s"
"Your Rating:","Votre évaluation:"
"Your Review (submitted on %s):","<strong>Votre commentaire</strong> (posté le %s):"
"Your review has been accepted for moderation","Votre commentaire a été envoyé et attend d'être validé"
"OR","OR"
"My Product Reviews","My Product Reviews"
