"-- Please select --","-- 请选择 --"
"Allowed currencies","允许货币"
"Base currency","基准货币"
"Cannot retrieve rate from %s","无法从%s获取汇率"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","继续 &raquo;"
"Country","国家"
"Country Api","国家 Api"
"Country and Format Type combination should be unique","国家和格式类型组合必须单独存在。"
"Currency","货币"
"Currency Options","货币选项"
"Currency Setup","货币设置"
"Currency Update Warnings","更新货币提示"
"Currency will be used for all online payment transactions","选中货币将被用于所有在线支付交易。"
"Default display currency","缺省货币"
"Directory","目录"
"Enabled","已启用"
"Error Email Recipient","收件人电邮错误"
"Error Email Sender","发件人电邮错误"
"Error Email Template","电邮模版错误"
"FATAL ERROR:","严重错误"
"Frequency","频率"
"Installed Currencies","被采用的货币"
"Invalid Import Service Specified","指定的导入服务不正确"
"Invalid country code: %s","错误的国家代号： %s"
"Invalid rates received","接收的汇率不正确"
"Invalid target currency","目标货币不正确"
"List of countries","国家列表"
"List of regions in specified country","指定的国家省份列表"
"Region","地区"
"Region Api","区域 Api"
"Remove space from currency sign","删除货币符号包含的空格"
"Scheduled Import Settings","定期导入"
"Select Your Currency","选择您的货币"
"Service","服务"
"Start Time","开始时间"
"State/Province","省份"
"Strikeiron Email Update Warnings","Strikeiron 电邮更新提示"
"Unable to initialize import model","无法初始化导入模式"
"Undefined rate from ""%s-%s""","""%s-%s""未定义汇率"
"WARNING:","提醒："
"Webservicex","Webservicex"
"Your current currency is: %s","您现有的货币选择为： %s"
