"# of Uses","使用次数"
"%s tag(s) have been accepted for moderation","成功将 %s 个标签提交审核。"
"Action","操作"
"Actions","操作"
"Add New Tag","增添新标签"
"Add Tags","增添标签"
"Add Your Tags:","添加您的标签："
"Add to Cart","加入购物车"
"Add to Wishlist","加入收藏"
"All Tags","所有标签"
"Approved","批准"
"Are you sure that you want to delete this tag?","您确认要删除该标签吗？"
"Are you sure you want to delete this tag?","您确定要删除此标签吗？"
"Are you sure you want to do this?","您确定要这么做吗？"
"Are you sure?","确定?"
"Back","返回"
"Back to Tags List","返回标签列表"
"Back to view Tag","返回查看标签"
"Block Information","区块信息"
"CSV","CSV"
"Change status","更改状态"
"Click on a tag to view your corresponding products.","点击标签查看相应的商品。"
"Country","国家"
"Customer Since","注册日期"
"Customers","顾客"
"Customers Tagged '%s'","顾客标签过的'%s'"
"Delete","删除"
"Delete Tag","删除标签"
"Disabled","禁用"
"Edit Tag","修改标签"
"Edit Tag '%s'","编辑标签'%s'"
"Email","电邮"
"First Name","名字"
"General Information","基本信息"
"Grid","多栏"
"ID","编号"
"Last Name","姓氏"
"List","单栏"
"My Recent Tags","我最近的标签"
"My Tags","我的标签"
"Name","名字"
"New Tag","新标签"
"No matches found.","无匹配的标签。"
"Other people marked this product with these tags:","其它顾客于商品的标签："
"Pending","待审"
"Pending Tags","待审标签"
"Popular","热门"
"Popular Tags","热门标签"
"Popularity","热门度"
"Price","价格"
"Product Name","商品名字"
"Product SKU","商品SKU"
"Product Tags","商品标签"
"Products","商品"
"Products Tagged with '%s'","'%s'标签的商品"
"Products tagged with '%s'","'%s'标签的商品"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","标记为'%s'的商品 (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","储存标签"
"Search Results for '%s' (<a href='%s'>RSS</a>)","%s'的搜索结果 (<a href='%s'>RSS</a>)"
"Search Terms","搜索关键词"
"Status","状态"
"Tag","标签"
"Tag ""%s"" has already been added to the product","已为指定商品添加标签 ""%s"""
"Tag Information","标签信息"
"Tag Name","标签名字"
"Tag Name: %s","标签名称：%s"
"Tag can't be empty.","标签不能为空。"
"Tagged in","登记的标签"
"Tags","标签"
"Tags Aren't Available","标签不可用"
"Tags:","标签："
"Telephone","电话"
"Thank you. Your tag has been accepted for moderation.","多谢，您的标签已加入系统审核。"
"Unable to find any products tagged with '%s' in the current store","先商店里查找不到'%s标签'的商品。"
"Unable to remove tag. Please, try again later.","无法删除标签。请重试。"
"Unable to save tag(s)","无法保存标签"
"Unable to save your tag. Please, try again later.","无法保存标签，请稍后再试。"
"Use spaces to separate tags. Use single quotes (') for phrases.","用空格分开标签。短语请使用单引号(')标出。"
"Uses","使用"
"View All","View All"
"View All Tags","查看所有标签"
"View Customers","查看顾客"
"View Products","查看商品"
"Visible In","可见于"
"XML","XML"
"You have not tagged any products yet.","您还没有加标签于任何商品。"
"Your tag was successfully deleted","成功删除标签"
"Your tag was successfully saved","成功保存标签"
"ZIP/Post Code","邮编"
"You have not tagged any products yet.","You have not tagged any products yet."
