"Billing Information","Πληροφορίες Χρέωσης"
"Change Payment Method","Αλλαγή Τρόπου Πληρωμής"
"Change Shipping Address","Αλλαγή Διεύθυνσης Πληρωμής"
"Edit Shopping Cart","Επεξεργασία Καλάθι Αγορών"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","Προϊόντα Στο Καλάθι Αγορών Σας"
"No shipping method required.","No shipping method required."
"PayPal Account","Λογαριασμός PayPal"
"PayPal Email","PayPal Email"
"Payment Method","Τρόπος Πληρωμής"
"Place an Order","Τοποθέτηση Παραγγελίας"
"Please select a shipping method...","Παρακαλούμε Επιλέξτε Τρόπο Αποστολής"
"Price","Τιμή"
"Product Name","Όνομα Προϊόντος"
"Qty","Ποσ."
"Review Order","Ανασκόπηση Παραγγελίας"
"Shipping Address","Διεύθυνση Αποστολής"
"Shipping Information","Πληροφορίες Αποστολής"
"Shipping Method","Τρόπος Αποστολής"
"Sorry, no quotes are available for this order at this time.","Μας Συγχωρείται Δεν Υπάρχουν Διαθέσιμα Quotes Για Αυτη Την Παραγγελία Προς Στο Παρόν"
"Submitting order information...","Καταχώρηση Πληροφοριών Παραγγελίας"
"Subtotal","Μερικό Σύνολο"
"Update Shipping Method","Ενημέρωση Τρόπου Αποστολής"
"You will be redirected to PayPal website when you place an order.","Θα Μεταφερθέιτε Στο Site Του Paypal Οταν Ολοκληρώσετε Την Παραγγελία Σας"
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Η Διεύθυνση Χρέωσης Θα Αγνοηθεί & Θα Μεταφερθέιτε Στο Site Του Paypal"
