"# of Use","# van gebruik"
"%1$s incl tax.","%1$s incl.BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"(Copy data from: %s)","(Data kopi&euml;ren van: %s)"
"(Will make search for the query above return results for this search.)","(Zal zoeken voor de zoekopdracht hierboven, geef resultaten terug voor deze zoekopdracht.)"
"* Required Fields","* Verplichte velden"
"-- Please Select --","-- Selecteer a.u.b. --"
"A name is required","Een naam is verplicht"
"ALL GROUPS","ALLE GROEPEN"
"AM","AM"
"Action","Actie"
"Add Attribute","Attribuut toevoegen"
"Add Design Change","Design-wijziging toevoegen"
"Add Group","Groep toevoegen"
"Add Items to Cart","Artikelen toevoegen aan winkelwagen"
"Add New","Toevoegen nieuwe"
"Add New Attribute","Nieuw attribuut toevoegen"
"Add New Attribute Set","Nieuwe attributenset toevoegen"
"Add New Group","Nieuwe groep toevoegen"
"Add New Images","Nieuwe afbeeldingen toevoegen"
"Add New Option","Nieuwe optie toevoegen"
"Add New Row","Nieuwe rij toevoegen"
"Add New Search Term","Nieuwe zoekterm toevoegen"
"Add New Set","Nieuwe set toevoegen"
"Add Option","Optie toevoegen"
"Add Product","Product toevoegen"
"Add Product To Websites","Product aan websites toevoegen"
"Add Root Category","Root-categorie toevoegen"
"Add Subcategory","Subcategorie toevoegen"
"Add Tax","BTW toevoegen"
"Add Tier","Staffel toevoegen"
"Add to Cart","In winkelwagen"
"Add to Compare","Toon in vergelijking"
"Add to My Wishlist","Zet op verlanglijst"
"Add to Wishlist","Zet op verlanglijst"
"Additional Information","Extra informatie"
"All","Alle"
"All Product Types","Alle productsoorten"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Alle producten van deze set worden verwijderd! Weet u zeker dat u deze attributenset wil verwijderen?"
"Allow HTML-tags on Front-end","HTML-tags toestaan in front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","Toepassen op"
"Apply To Configurable/Grouped Product","Toepassen op configureerbaar/gegroepeerd product"
"Approved","Goedgekeurd"
"Are you sure you want to delete this category?","Weet u zeker dat u deze categorie wilt verwijderen?"
"Are you sure you would like to remove all products from your comparison?","Weet u zeker dat u alle producten uit uw vergelijking wilt verwijderen?"
"Are you sure you would like to remove this item from the compare products?","Weet u zeker dat u dit artikel wilt verwijderen van vergelijklijst?"
"Are you sure?","Weet u het zeker?"
"As low as:","Slechts"
"Assign","Toewijzen"
"Assign product link","Productlink toewijzen"
"Assign product to category","Product aan categorie toewijzen"
"Assigned Products","Toegewezen producten"
"Associated Products","Gerelateerde producten"
"Attrib. Set Name","Attributenset"
"Attribute Code","Attribuutcode"
"Attribute Information","Attribuutgegevens"
"Attribute Label","Attribuutomschrijving"
"Attribute Model","Attribuutmodel"
"Attribute Name:","Attribuutnaam:"
"Attribute Properties","Attribuut-eigenschappen"
"Attribute Set","Attributenset"
"Attribute group with the ""/name/"" name already exists","Attributengroep met de naam name/""bestaat al"
"Attribute model not defined","Attribuutmodel is niet gedefinieerd"
"Attribute with the same code already exists","Attribuut met dezelfde code bestaat al"
"Attributes","Attributen"
"Attrribute names can be specified per store.","Attribuutnamen kunnen per winkel opgegeven worden."
"Autogenerate","Automatisch genereren"
"Availability","Beschikbaarheid"
"Availability: In stock.","Beschikbaarheid:  In voorraad"
"Availability: Out of stock.","Beschikbaarheid:  Niet in voorraad."
"Back","Terug"
"Backend Model","Backend-model"
"Backend Table","Backend-tabel"
"Backend Table Title","Titel backend-tabel"
"Backorders","Backorders"
"Base directory to upload image file is not specified","Basis-map om afbeelding te uploaden is niet opgegeven"
"Based On","Gebaseerd op"
"Best Value","Beste waarde"
"Block after Info Column","Blok na info-kolom"
"Bottom/Left","Onder/links"
"Bottom/Right","Onder/rechts"
"Browse By","Blader door"
"Buy %1$s for %2$s","Bestel %1 voor %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koop %1$s voor %2$s (%3$s incl. BTW) per stuk."
"Buy %1$s for %2$s each","Koop %1$s voor %2$s per stuk."
"Can be used only with catalog input type Dropdown","Kan alleen gebruikt worden met invoerveld van type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan alleen gebruikt worden met invoervelden van typen Dropdown, Multiple select en Prijs"
"Can't create image.","Kan geen afbeelding maken"
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Attribuut winkelwagen-artikel"
"Catalog","Catalogus"
"Catalog Input Type for Store Owner","Catalogus invoertype voor winkeleigenaar"
"Catalog Price Scope","Scope catalogusprijs"
"Catalog Section","Sectie Catalogus"
"Catalog, Search","Catalogus, zoeken"
"Categories","Categorie&euml;n"
"Categories Sitemap","Sitemap categorie&euml;n"
"Category","Categorie"
"Category API","Categorie API"
"Category Data","Categoriegegevens"
"Category Navigation:","Categorie navigatie:"
"Category Products","Categorie producten"
"Category Top Navigation","Categorie topnavigatie"
"Category URL Suffix","Categorie URL toevoeging"
"Category attributes API","API categorie-attributen"
"Category delete error","Categorie verwijderfout"
"Category deleted","Categorie verwijderd"
"Category move error","Categorie verplaatsfout"
"Category must be instance of Mage_Catalog_Model_Category","Categorie moet een instance zijn van Mage_Catalog_Model_Category"
"Category saved","Categorie opgeslagen"
"Change","Wijzigen"
"Change or Retrieve attribute store view","Attribuut winkelzicht wijzigen of ophalen"
"Change status","Status wijzigen"
"Check items to add to the cart or","Aanvinken bij dit product te bestellen of"
"Choose an Option...","Kies een optie..."
"Choose option...","Kies optie..."
"Clear All","Alles wissen"
"Clear All Items","Verfijning wissen"
"Close Window","Sluit venster"
"Collapse All","Alles inklappen"
"Comparable","Vergelijkbaar"
"Comparable on Front-end","Vergelijkbaar in front-end"
"Compare Items","Artikelen vergelijken"
"Compare Products","Producten vergelijken"
"Compare Products (%d)","Producten vergelijken (%d)"
"Compare Products - %d Items","Vergelijk producten - %d items"
"Compare Products List","Productenlijst vergelijken"
"Compare list successfully cleared","Vergelijklijst met succes geleegd"
"Conditions Combination","Voorwaarden combinatie"
"Configurable Product","Configureerbaar product"
"Configurable Product Settings","Instellingen configureerbaar product"
"Continue","Ga verder"
"Copy From Configurable","Kopi&euml;ren van configureerbare"
"Country/State","Land/Provincie"
"Create","Aanmaken"
"Create (Upload)","Aanmaken (Upload)"
"Create Empty","Aanmaken lege"
"Create Product Settings","Productinstellingen aanmaken"
"Create Simple Associated Product","Verbonden eenvoudige product aanmaken"
"Create new category","Nieuwe categorie aanmaken"
"Create new product","Nieuw product aanmaken"
"Cross-sells","Cross-selling"
"Currently Shopping by","Actieve verfijning"
"Custom Design","Eigen ontwerp"
"Custom Options","Eigen opties"
"Customer Group","Klantengroep"
"Customers Reviews","Klanten-reviews"
"Customers Tagged Product","Tags van klanten"
