"%s - Discounts and Coupons","%s – Kortingen en bonnen"
"%s - Special Discounts","%s – Speciale kortingen"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s heeft een aantal van %s bereikt."
"%s's Wishlist","Verlanglijst van %s"
"Cannot retrieve the wishlist","Kan verlanglijst niet ophalen"
"Catalog","Catalogus"
"Category Feeds","Categorie-feeds"
"Comment: %s<br/>","Notitie: %s<br />"
"Coupons/Discounts","Kortingsbonnen/kortingen"
"Current Status: %s<br/>","Huidige status: %s<br />"
"Customer Name: %s","Klantnaam: %s"
"Customer Order Status Notification","Melding bestelstatus van klant"
"Details for %s #%s","Details voor %s #%s"
"Discount ","Discount "
"Enable RSS","RSS inschakelen"
"Error in processing xml. %s","Fout tijdens verwerken van XML. %s"
"From:","Van:"
"Get Feed","Feed opvragen"
"Gift Message","Bericht bij cadeau"
"Grand Total","Eindtotaal"
"Low Stock Products","Producten met weinig voorraad"
"Message:","Bericht:"
"Miscellaneous Feeds","Diverse Feeds"
"New Orders","Nieuwe bestellingen"
"New Products","Nieuwe producten"
"New Products from %s","Nieuwe producten van %s"
"Notified Date: %s<br/>","Datum ingelicht: %s<br />"
"Order # %s Notification(s)","Bestelling # %s melding(en)"
"Order #%s created at %s","Bestelling #%s aangemaakt op %s"
"Pending product review(s)","Onafgehandelde product-reviews"
"Product: ""%s"" review By: %s","Product: “%s” review door: %s"
"Product: <a href=""%s"">%s</a> <br/>","Product: <a href=”%s”>%s</a><br />"
"Products tagged with %s","Producten getagd met %s"
"Purchased From: %s","Gekocht van: %s"
"RSS","RSS"
"RSS Feeds","RSS feeds"
"RSS testing","Test RSS"
"Review: %s <br/>","Review: %s <br/>"
"Rss Config","RSS configuratie"
"Rss Feeds Section","Sectie RSS feeds"
"Shipping & Handling","Verzending en afhandeling"
"Special Products","Speciale producten"
"Special/Discount Products","Speciale/Korting producten"
"Store: %s <br/>","Winkel: %s<br />"
"Subtotal","Subtotaal"
"Summary of review: %s <br/>","Samenvatting van review: %s<br />"
"Tags Products","Product-tags"
"Tax","BTW"
"There are no Rss Feeds","Er zijn geen RSS feeds"
"There are no Rss Feeds.","Er zijn geen RSS feeds."
"To:","Tot:"
"Top Level Category","Top level categorie"
"Total Products: %s","Totaal producten: %s"
"Total: %s<br/>","Totaal: %s<br />"
"Wishlist","Verlanglijst"
"click <a href=""%s"">here</a> to view the review","klik <a href=""%s"">hier</a> om de review te bekijken"
