"Alert Email Sender","提醒郵件的發件人"
"Alert subscription was deleted successfully","成功刪除訂閱提醒郵件"
"Alert subscription was saved successfully","成功保存訂閱提醒郵件"
"Allow alert when product comes back in stock","商品有庫存時接收提醒"
"Allow alert when product price changes","商品價格變化時接收提醒"
"Click here not to receive alerts for this product","點這裡取消接收本商品提醒"
"Error Email Recipient","錯誤郵件的收件人"
"Error Email Sender","錯誤郵件的發件人"
"Error Email Template","錯誤郵件的模板"
"Frequency","頻率"
"Not enough parameters","沒有足夠的參數"
"Please try again later","請稍後再試"
"Price alert Email Template","價格提醒郵件的模板"
"Price:","價格： "
"Product Alerts","商品提醒"
"Product Alerts Run Settings","商品提醒的設置"
"Product alerts Cron error","商品提醒定時作業錯誤"
"Product not found","商品未找到"
"Product price alert","商品價格提醒"
"Product stock alert","商品庫存提醒"
"Sign up for price alert","登記價格提醒"
"Sign up to get notified when this product is back in stock","登記當商品有庫存時接收提醒"
"Special price:","特價： "
"Start Time","開始時間"
"Stock alert Email Template","庫存提醒郵件的模板"
"Unsubscribe from all price alerts","退訂所有價格提醒"
"Unsubscribe from all stock alerts","退訂所有庫存提醒"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","您接收到本郵件是因為訂閱了以下商品有庫存時的提醒："
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","您接收到本郵件是因為訂閱了以下商品價格變化的提醒： "
"You will no longer receive price alerts for this product","您不會再收到該商品的價格提醒"
"You will no longer receive stock alerts","您不會再收到庫存提醒"
"You will no longer receive stock alerts for this product","您不會再收到該商品的庫存提醒"
