"%s already exist","%s已存在"
"%s already exists","%s已存在"
"-- Please Select --","--請選擇-- "
"Add Block Names to Hints","Add Block Names to Hints"
"Add Secret Key to URLs","Add Secret Key to URLs"
"Add Store Code to Urls","Add Store Code to Urls"
"Admin","Admin"
"Admin Base URL","Admin Base URL"
"Admin User Emails","Admin User Emails"
"Advanced","高級"
"Allow countries","允許的國家"
"Allowed IPs (comma separated)","允許的IP地址(用逗號分開) "
"Are you sure?","您確認嗎？ "
"Back","返回"
"Backup options","Backup options"
"Base JavaScript URL","基準JavaScript網址"
"Base Link URL","基準鏈接網址"
"Base Media URL","基準媒體網址"
"Base Skin URL","基準皮膚網址"
"Base URL","基準網址"
"Before modifying the store view code please make sure that it is not used in index.php","在修改商店界面代碼前，請確認沒有在index.php中使用"
"Before modifying the website code please make sure that it is not used in index.php","在修改網站代碼前，請確認沒有在index.php中使用"
"Block with name ""%s"" already exists","方框""%s""已存在"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","無法獲取請求的對象"
"Can't retrieve entity config: %s","Can't retrieve entity config: %s "
"Cancel","取消"
"Cannot Delete Email Template","不能刪除電子郵件模板"
"Cannot complete this operation from non-admin area.","Cannot complete this operation from non-admin area."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","代碼"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","控製文件已加載但類不存在"
"Cookie Domain","Cookie域"
"Cookie Lifetime","Cookie時效"
"Cookie Path","Cookie路徑"
"Copyright","Copyright"
"Countries options","國家選項"
"Create Store","新建商店"
"Create Store View","新建商店界面"
"Create Website","新建網站"
"Current package name","當前安裝包名稱"
"Custom Design","客戶定制"
"Custom admin URL","Custom admin URL"
"Custom email 1","自定義郵件一"
"Custom email 2","自定義郵件二"
"Customer support","客服"
"Date From","開始日期"
"Date To","結束日期"
"Date/time format ""%s"" is not supported.","Date/time format ""%s"" is not supported."
"Debug","調試"
"Default","缺省"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Default Pages","缺省頁面"
"Default Robots","Default Robots"
"Default Store","缺省商店"
"Default Store View","缺省商店界面"
"Default Title","Default Title"
"Default country","缺省國家"
"Default no-route url","缺省缺失的頁面"
"Default web url","缺省網址"
"Delete","刪除"
"Delete Store","刪除商店"
"Delete Store View","刪除商店界面"
"Delete Website","Delete Website "
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s."
"Design","設計"
"Design Change","界面設計"
"Developer","程序員"
"Developer Client Restrictions","程序員客戶限制"
"Disable email communications","禁用電子郵件"
"Disable modules output","禁用模塊輸出"
"Duplicate Of Template Code","模板代碼重複"
"Edit Design Change","修改界面設計"
"Edit Store","修改商店"
"Edit Store View","修改商店界面"
"Edit Website","修改網站Website "
"Empty identifier field name","標識字段名為空"
"Empty main table name","主數據表名為空"
"Enabled","啟用"
"Enabled for Admin","在管理界面中啟用"
"Enabled for Frontend","在前台啟用"
"Error in file: ""%s"" - %s","文件：""%s"" - %s錯誤"
"Error while saving. Please try again later.","保存時出錯，請稍後再試。 "
"Error: Passwords do not match","Error: Passwords do not match"
"Exceptions Log File Name","Exceptions Log File Name"
"First Day of Week","First Day of Week"
"Footer","Footer"
"Forgot Password Email Sender","忘記密碼的電子郵件發件人"
"Forgot Password Email Template","忘記密碼的電子郵件模板"
"General","基本"
"General Settings","基本設置"
"General contact","聯繫人"
