"1 star","1 yıldız"
"2 stars","2 yıldız"
"3 stars","3 yıldız"
"4 stars","4 yıldız"
"5 stars","5 yıldız"
"Add New Rating","Yeni puanlama ekle"
"Assigned Options","Bağlı Özellikler"
"Be the first to review this product","Bu ürünü ilk yorumlayan siz olun"
"Default Value","Varsayılan Değer"
"Delete Rating","Puan Sil"
"Edit Rating","Puan Düzenle"
"ID","No"
"If you do not specify a rating title for a store, the default value will be used.","Bir mağaza için Puanlama Başlığı belirtmezseniz varsayılan değer kullanılır."
"Manage Ratings","Puanlamaları Yönet"
"New Rating","Yeni Puanlama"
"Option Label","Seçenek Adı"
"Option Title","Seçenek Başlığı"
"Option Title:","Seçenek Başlığı :"
"Please select one of each ratings above","Aşağıdaki puanlardan birini seçiniz"
"Rating Information","Puan Bilgisi"
"Rating Name","Puan Adı"
"Rating Options","Puan Seçenekleri"
"Rating Title","Puan Başlığı"
"Rating Visibility","Puan Görünümü"
"Rating isn't Available","Puanlama kullanılabilir değil"
"Rating with the same title","Aynı adla bir puanlama oluştur"
"Save Rating","Puanlamayı Kaydet"
"Visible In","Gösterileceği Yer"
