"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s je uspješno dodan na vašu listu želja. Kliknite <a href=""%2$s"">here</a> kako biste nastavili kupovati"
"%s's Wishlist","%s's Lista želja"
"* Required Fields","* Obavezno ispuniti"
"Add All to Cart","Dodaj sve u košaricu"
"Add to Cart","Dodaj u košaricu"
"Add to Wishlist","Dodaj na listu želja"
"Added On","Dodavanje uključeno"
"Are You sure?","Da li ste sigurni?"
"Are you sure you want to remove this product from your wishlist?","Da li ste sigurni da ovaj proizvod želite maknuti s vaše liste želja?"
"Are you sure you would like to remove this item from the wishlist?","Da li ste sigurni da ovaj proizvod želite maknuti s vaše liste želja?"
"Back","Nazad"
"Can't save description %s","Ne mogu spremiti opis %s"
"Cannot create wishlist","Ne mogu kreirati listu želja"
"Cannot specify product","Ne mogu specificirati proizvod"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Obilježite ovu kućicu ako želite dodati link na rss feed na vašu listu želja.."
"Comment","Komentar"
"Email Sender","Email pošiljatelj"
"Email Template","Email predložak"
"Email address can't be empty.","Email adresa ne može biti prazna"
"Email addresses, separated by commas","Email adrese, odvojene zarezima"
"Enabled","Omogućeno"
"General Options","Glavni izbornik"
"Go to Wishlist","Idi na listu želja"
"Last Added Items","Zadnji dodani artikl"
"Message","Poruka"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Moja lista želja (%d artikl)"
"My Wishlist (%d items)","Moja lista želja (%d artikli)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Molimo da upišete ispravne email adrese, odvojene zarezima. Naprimjer: milahorvat@domena.com, ivanhorvat@domena.com."
"Please, enter your comments...","Molimo, unesite vaše komentare..."
"Product","Artikl"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link %s's listi želja"
"Remove Item","Obriši artikl"
"Share Wishlist","Podijeli listu želja s drugim"
"Share Your Wishlist","Podijeli vašu listu želja s drugim"
"Share options","Opcije dijeljenja"
"Sharing Information","Informacija dijeljenja"
"There was an error while adding item to wishlist.","Dogodila se greška prilikom dodavanja artikla na listu želja."
"There was an error while adding item to wishlist: %s","Dogodila se greška prilikom dodavanja artikla na listu želja.: %s"
"There was an error while deleting item from wishlist.","Dogodila se greška prilikom brisanja artikla s vaše liste želja."
"There was an error while deleting item from wishlist: %s","Dogodila se greška prilikom brisanja artikla s vaše liste želja: %s"
"This product(s) is currently out of stock:","This product(s) is currently out of stock:"
"Update Wishlist","Osvježi listu želja"
"View Product","Vidi artikl"
"Wishlist","Lista želja"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Dijeljenje liste želja"
"Wishlist is empty now.","Lista želja je trenutno prazna."
"You have no items in your wishlist.","Nemate artikala na listi želja."
"You input not valid email address.","Upisali ste krivu email adresu."
"Your Wishlist was successfully shared","Djeljenje vaše liste želja uspješno."
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Moja lista želja"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
