"%s - Discounts and Coupons","%s - Engedmények és szelvények"
"%s - Special Discounts","%s - Akciós engedmények"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s elérte a %s mennyiséget."
"%s's Wishlist","%s kívánságlistája"
"Cannot retrieve the wishlist","Kivánságlista nem visszavonható"
"Catalog","Katalógus"
"Category Feeds","Category Feeds"
"Comment: %s<br/>","Megjegyzés: %s<br/>"
"Coupons/Discounts","Szelvények/Engedmények"
"Current Status: %s<br/>","Jelenlegi állapot: %s<br/>"
"Customer Name: %s","Vevő neve: %s"
"Customer Order Status Notification","Vevői rendelés állapot figyelmeztetés"
"Details for %s #%s","Részelek %s #%s"
"Discount ","Engedmény "
"Enable RSS","RSS engélyezése"
"Error in processing xml. %s","Hiba az xml feldolgozása közben. %s"
"From:","Tól:"
"Get Feed","Forrás megnyitása"
"Gift Message","Ajándék üzenet"
"Grand Total","Mindösszesen"
"Low Stock Products","Alacsony készletű termékek"
"Message:","Üzenet:"
"Miscellaneous Feeds","Miscellaneous Feeds"
"New Orders","Új rendelések"
"New Products","Új termékek"
"New Products from %s","Uj termékek innen: %s"
"Notified Date: %s<br/>","Figyelmeztetve ekkor: %s<br/>"
"Order # %s Notification(s)","Rendelés # %s figyelmezetés(ek)"
"Order #%s created at %s","Rendelés #%s elkészítve ekkor %s"
"Pending product review(s)","Függő termék vélemény(ek)"
"Product: ""%s"" review By: %s","Termék: ""%s"" véleményezte: %s"
"Product: <a href=""%s"">%s</a> <br/>","Termék: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Termékek %s címkével"
"Purchased From: %s","Vásárolva innen: %s"
"RSS","RSS"
"RSS Feeds","RSS források"
"RSS testing","RSS testing"
"Review: %s <br/>","Vélemény: %s <br/>"
"Rss Config","RSS beállítás"
"Rss Feeds Section","Rss Feeds Section"
"Shipping & Handling","Szállítás és kezelés"
"Special Products","Akciós termékek"
"Special/Discount Products","Akciós/Engedményes termékek"
"Store: %s <br/>","Bolt: %s <br/>"
"Subtotal","Részösszeg"
"Summary of review: %s <br/>","'%s vélemény összegzése <br/>"
"Tags Products","Termék címkézés"
"Tax","Adó"
"There are no Rss Feeds","There are no Rss Feeds"
"There are no Rss Feeds.","There are no Rss Feeds."
"To:","Ig:"
"Top Level Category","Legfelső kategória"
"Total Products: %s","Total Products: %s"
"Total: %s<br/>","Összesen: %s<br/>"
"Wishlist","Kívánságlista"
"click <a href=""%s"">here</a> to view the review","click <a href=""%s"">here</a> to view the review"
