"Actions","Művelet"
"Add Answer","Új válasz"
"Add New Answer","Új válasz hozzáadása"
"Add New Poll","Új szavazás hozzáadása"
"Answer Title","Válasz címe"
"Answer Title:","Válasz címe:"
"Answer was successfully saved","Válasz sikeresen elmentve"
"Answer with the same title in this poll","Válasz ugyan azzal a címmel ebben a szavazásban"
"Are you sure you want to delete it?","Biztos benne hogy törölni kívánja?"
"Assigned Answers","Társított válaszok"
"Closed","Zárva"
"Community Poll","Közösségi szavazás"
"Date Closed","Lezárva"
"Date Posted","Létrehozva"
"Delete","Töröl"
"Delete Answer","Válasz törlése"
"Delete Poll","Szavazás törlése"
"Disallow voting in a poll multiple times from same IP-address","Ugyan arról az ip-ről való szavazás tiltása"
"Edit Answer '%s'","Válasz szerkesztése '%s'"
"Edit Poll '%s'","Szavazás szerkesztése '%s'"
"Edit Poll Answer","Szavazás válaszának szerkesztése"
"ID","ID"
"Invalid Answer","Érvénytelen válasz"
"New Poll","Új szavazás"
"Number of Responses","Válaszok száma"
"Open","Nyitott"
"Poll Answers","Szavazás válaszok"
"Poll Information","Szavazás információk"
"Poll Manager","Szavazás kezelő"
"Poll Question","Szavazás kérdés"
"Poll information","Szavazás információk"
"Poll not exists","Szavazás nem létezik"
"Poll with the same question","Szavazás ugyan azzal a kérdéssel"
"Save Answer","Válasz mentése"
"Save Poll","Szavazás mentése"
"Status","Állapot"
"Unable to find answer to delete.","Nem találok törölhető választ."
"Visible In","Láthatóság"
"Vote","Szavaz"
"Votes Count","Szavazatszámláló"
"Votes Count:","Szavazatok száma:"
