"* Required Fields","* Kötelező mezők"
"Add","Hozzáad"
"Add Gift Message","Új üzenet"
"Allow Gift Messages for Order Items","Üzenetek engedélyezése tételenként"
"Allow Gift Messages on Order Level","Üzenetek engedélyezése rendelésenként"
"Are you sure?","Biztos benne?"
"Cancel","Mégsem"
"Check this checkbox if you want to add gift messages to your items.","Jelölje be ezt a négyzetet ha üzenetet kíván hagyni a rendelés tételeihez."
"Check this checkbox if you want to add gift messages.","Jelölje be ezt a négyzetet ha üzenetet kíván hagyni."
"Close","Bezár"
"Do you have any gift items in your order?","Szeretne üzenetet írni valamelyik termékhez?"
"Edit","Szerkeszt"
"Edit Gift Message","Üzenet szerkesztése"
"Enter a gift message for each item in your order.","Adja meg üzeneteit, a rendelés elemeihez."
"Enter a gift message for entire order.","Adja meg üzenetét a rendeléshez."
"Enter a gift message for this address.","Adja meg az üzenetét ehhez a címhez."
"Error while saving gift message","Hiba az üzenet mentésekor"
"From","Feladó"
"Gift Message","Üzenet"
"Gift Messages","Üzenetek"
"Gift message has been successfully saved","Üzenet sikeresen elmentve"
"Item %d of %d","Termék %d / %d"
"Message","Üzenet"
"No","Nem"
"Remove","Eltávolít"
"Save","Mentés"
"Save Gift Message","Ajándék üzenet mentése"
"To","Kinek"
"Unknown entity type","Ismeretlen egyed típus"
"Use config","Használja a beállításokat"
"Yes","Igen"
"You can leave a box blank if you don't wish to add a gift message for the item.","Hagyja üresen a dobozt ha nem kíván üzenetet hagyni ehhez a termékhez."
"You can leave a box blank if you don't wish to add a gift message for this address.","Hagyja üresen a dobozt ha nem kíván üzenetet hagyni ehhez a címhez."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Hagyja üresen a dobozt ha nem kíván üzenetet hagyni ehhez a rendeléshez."
"Your gift message has been successfully removed","Üzenetét eltávolítottuk"
"Your gift message has been successfully saved","Üzenetét elmentettük"
"Your gift message successfully removed","Üzenetét eltávolítottuk"
"Your gift message successfully saved","Üzenetét elmentettük"
