"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s je dadano na spisek želja. Klik <a href=""%2$s"">tukaj</a> za nadaljevanje nakupovanja"
"%s's Wishlist","%s spisek želja"
"* Required Fields","* potrebna polja"
"Add All to Cart","Dodaj vse v košarico"
"Add to Cart","Dodaj v košarico"
"Add to Wishlist","Dodaj na spisek želja"
"Added On","Dodano na"
"Are You sure?","Are You sure?"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Are you sure you would like to remove this item from the wishlist?","Are you sure you would like to remove this item from the wishlist?"
"Back","Nazaj"
"Can't save description %s","Ne morem shraniti opisa %s"
"Cannot create wishlist","Ne morem narediti spisek želja"
"Cannot specify product","Cannot specify product"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Check this checkbox if you want to add a link to an rss feed to your wishlist."
"Comment","Komentar"
"Email Sender","Email Sender"
"Email Template","Email Template"
"Email address can't be empty.","Email address can't be empty."
"Email addresses, separated by commas","Email addresses, separated by commas"
"Enabled","Vkljuèeno"
"General Options","Splošne Možnosti"
"Go to Wishlist","Pojdi v Spisek Želja"
"Last Added Items","Nazadnje dodani artikli"
"Message","Sporoèilo"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Moj spisek želja (%d item)"
"My Wishlist (%d items)","Moj spisek želja (%d items)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Prosim, vpišite vaš komentar...!
Product"""
"Product","Product"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Remove Item","Odstrani artikel"
"Share Wishlist","Share Wishlist"
"Share Your Wishlist","Share Your Wishlist"
"Share options","Share options"
"Sharing Information","Sharing Information"
"There was an error while adding item to wishlist.","There was an error while adding item to wishlist."
"There was an error while adding item to wishlist: %s","There was an error while adding item to wishlist: %s"
"There was an error while deleting item from wishlist.","There was an error while deleting item from wishlist."
"There was an error while deleting item from wishlist: %s","There was an error while deleting item from wishlist: %s"
"This product(s) is currently out of stock:","This product(s) is currently out of stock:"
"Update Wishlist","Posodobi spisek želja"
"View Product","Poglej artikel"
"Wishlist","Seznam želja"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Wishlist Sharing"
"Wishlist is empty now.","Spisek želja je sedaj prazen."
"You have no items in your wishlist.","Ni artiklov v spisku želja."
"You input not valid email address.","You input not valid email address."
"Your Wishlist was successfully shared","Your Wishlist was successfully shared"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Moj seznam Å¾elja"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
