"%s is not supported currency.","%s er ikke supportert valuta."
"Accept","Aksepter"
"Basic","Enkel"
"Cannot retreive rate from strikeirion.","Kan ikke hente sats fra strikeirion."
"Cannot retrieve rate from %s to %s","Kan ikke hente sats fra %s til %s"
"Check all email servers","Sjekk alle epost-serverne"
"Complete","Ferdig"
"Country/Region/Postal code combination","Land/Fylke/Postkode-kombinasjon"
"Customer Tax Class","Momsklasse for kunde"
"Email Verification","Epost-verifikasjon"
"Email address cannot be verified. Please check again and make sure your email address entered correctly.","Epost-adressen kunne ikke verifiseres. Prøv på nytt."
"Enable US address verification","Aktiver USA-adresse verifikasjon"
"Enable email verification","Aktiver epost-verifikasjon"
"Enable foreign exchange rate","Aktiver utenlandsk vekslingssats"
"Enable global address verification","Aktiver global adresse verifikasjon"
"Enable sales and use tax","Akriver salg og bruk moms"
"Error Email Recipient","Feil ifm epost-mottaker"
"Error Email Sender","Feil ifm epost-sender"
"Error Email Template","Feil ifm epost-mal"
"Error address action","Feil"
"Foreign Exchange Rates","Utenlandsk vekslingsrate"
"Global Address Verification","Global adresse-verifikasjon"
"If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.","If type is complete and zip code belongs to multiple tax rates, choose to charge minimum tax rate or maximum tax rate.."
"Invalid email address","Ukjent epost-adresse"
"Maximum tax rate","Maksimal moms-sats"
"Minimum tax rate","Minimum moms-sats"
"Password","Passord"
"Pop up warning and accept","Vis advarsel og aksepter"
"Product Tax Class","Momsklasse for produkt"
"Reject","Avslå"
"Sales and Use Tax","Salg og bruk moms"
"Sales and Use Tax Type","Salg og bruk momstype"
"Strikeiron","Strikeiron-import"
"Strikeiron Config","Strikeiron konfigurasjon"
"Strikeiron Section","Strikeiron Seksjon"
"Strikeiron foreign exchange rate is disabled","Strikeiron utenlandsk vekslingssats er deaktivert"
"Tax","Mva"
"There is an error in retrieving tax rate. Please contact us","Feil ved henting av momssats. Kontakt oss"
"There is an error in verifying an email. Please contact us.","Feil under verifisering av epost-adresse. Kontakt oss."
"There is no more hits remaining for the foreign Exchange Rate Service.","Ingen flere treff."
"There is no response back from Strikeiron server","Ingen respons fra Strikeiron-serveren"
"US Address Verification","USA-adresse verifikasjon"
"Undetermined email action","Ubestemt epost-handling"
"Use","Bruk"
"User ID","Bruker ID"
"Verify address in admin","Verifiser adresse i admin"
"Verify email in admin","Verifiser epost i admin"
