"%s already exist","%s já existe"
"%s already exists","%s já existe"
"-- Please Select --","-- Escolla --"
"Add Block Names to Hints","Engadir nomes de bloque aos consellos"
"Add Secret Key to URLs","Engadir a chave secreta aos URLs"
"Add Store Code to Urls","Engadir o código da tenda aos URLs"
"Admin","Admin"
"Admin Base URL","URL base de administración"
"Admin User Emails","Enderezos de correo electrónico do usuario administrador"
"Advanced","Avanzado"
"Allow countries","Países Permitidos"
"Allowed IPs (comma separated)","IPs permitidos (separados por comas)"
"Are you sure?","Está seguro?"
"Back","Volver"
"Backup options","Backup options"
"Base JavaScript URL","URL base do JavaScript"
"Base Link URL","URL base da ligazón"
"Base Media URL","URL base dos elementos multimedia"
"Base Skin URL","URL base do tema"
"Base URL","URL base"
"Before modifying the store view code please make sure that it is not used in index.php","Antes de alterar o código da Vista de Loja, por favor confirme que este não está a ser utilizado em index.php"
"Before modifying the website code please make sure that it is not used in index.php","Antes de alterar o código do Site, por favor confirme que este não está a ser utilizado em index.php"
"Block with name ""%s"" already exists","O bloque co nome ""%s"" xa existe"
"Blocks HTML output","Blocks HTML output"
"Can't retrieve request object","Non se pode recuperar o obxecto solicitado"
"Can't retrieve entity config: %s","Não foi possível obter a entidade de configuração: %s"
"Cancel","Cancelar"
"Cannot Delete Email Template","Não é possível remover o modelo de email"
"Cannot complete this operation from non-admin area.","Non se pode completar esta operación desde unha área que non sexa de administración."
"Category object is required for determining product request path","Category object is required for determining product request path"
"Code","Código"
"Collections Data","Collections Data"
"Configuration","Configuration"
"Controller file was loaded but class does not exist","Cargouse o ficheiro do controlador pero non existe a clase"
"Cookie Domain","Dominio da cookie"
"Cookie Lifetime","Tempo de vida da cookie"
"Cookie Path","Ruta da cookie"
"Copyright","Copyright"
"Countries options","Opções países"
"Create Store","Crear tenda"
"Create Store View","Crear visualización da tenda"
"Create Website","Crear sitio web"
"Current package name","Nome do pacote actual"
"Custom Design","Deseño personalizado"
"Custom admin URL","Custom admin URL"
"Custom email 1","Email personalizado 1"
"Custom email 2","Email personalizado 2"
"Customer support","Apoio cliente"
"Date From","Desde a data"
"Date To","ata hoxe"
"Date/time format ""%s"" is not supported.","Non se admite o formato de data/hora ""%s""."
"Debug","Depuración"
"Default","Predeterminado"
"Default Description","Descrición predeterminada"
"Default Keywords","Palabras chave predeterminadas"
"Default Pages","Páxinas predeterminadas"
"Default Robots","Tratamento de Robots predeterminados"
"Default Store","Tenda predeterminada"
"Default Store View","Visualización de tenda predeterminada"
"Default Title","Título predeterminado"
"Default country","País por omissão"
"Default no-route url","Url sem rota por omissão"
"Default web url","Url web por omissão"
"Delete","Borrar"
"Delete Store","Borrar tenda"
"Delete Store View","Borrar visualización da tenda"
"Delete Website","Borrar sitio web"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Borrar un %1$s non eliminará a información asociada co %1$s (ex. categorías, produtos etc.), pero non se poderá restaurar %1$s. Suxírese que cree unha copia de seguridade da base de datos antes de borrar %1$s."
"Design","Deseño"
"Design Change","Cambio de deseño"
"Developer","Desenvolvedor/a"
"Developer Client Restrictions","Desenvolver restricións do cliente"
"Disable email communications","Não permitir comunicações por email"
"Disable modules output","Desactivar mostragem dos módulos"
"Duplicate Of Template Code","Duplicado do código de modelo"
"Edit Design Change","Editar cambio do deseño"
"Edit Store","Editar tenda"
"Edit Store View","Editar visualización da tenda"
"Edit Website","Editar sitio web"
"Empty identifier field name","Baleirar o nome do identificador do campo"
"Empty main table name","Baleirar o nome da táboa principal"
"Enabled","Activado"
"Enabled for Admin","Activado para administración"
"Enabled for Frontend","Activado para frontend"
"Error in file: ""%s"" - %s","Houbo un erro no ficheiro: ""%s"" - %s"
"Error while saving. Please try again later.","Erro enquanto guardava. Por favor tente novamente mais tarde"
"Error: Passwords do not match","Houbo un erro: os contrasinais non coinciden"
"Exceptions Log File Name","Nome do ficheiro de rexistro de excepcións"
"First Day of Week","Primeiro día da semana"
"Footer","Pé de páxina"
"Forgot Password Email Sender","Remitente do correo electrónico de contrasinal esquecido"
"Forgot Password Email Template","Modelo do correo electrónico de contrasinal esquecido"
"General","Xeral"
"General Settings","Configuracións xerais"
"General contact","Contacto Geral"
"Global","Global"
"HTML Head","Cabeceira HTML"
"Header","Cabeceira"
"Host","Servidor"
"Id path for specified store","ID do Caminho para a loja especificada"
"Incorrect credit card expiration date","Data de caducidade da tarxeta de crédito incorrecta"
"Invalid base url type","O tipo de URL base non é válido"
"Invalid block name to set child %s: %s","Nome de bloque non válido para establecer o fillo %s: %s"
"Invalid block type: %s","O tipo de bloque: %s non é válido"
"Invalid block: %s","Bloque: %s non válido"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","Argumento de actualização do Layout inválido, esperado Mage_Core_Model_Layout_Element"
"Invalid layout update handle","Xestor de actualización da disposición non válido"
"Invalid messages storage ""%s"" for layout messages initialization","Mensaxe de almacenamento non válida ""%s"" para a inicialización de mensaxes da disposición"
"Invalid transactional email code: ","Código do correo electrónico de transaccións non válido: "
"Invalid websites configuration path: %s","Caminho de configuração de sites inválido: %d"
"Layout","Disposición"
"Layouts","Layouts"
"Leave empty for access from any location","Deixe em branco para aceder de qualuqer localização"
"Locale","Configuración rexional"
"Locale options","Opções de Localização"
"Log Settings","Configuracións do rexistro"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","Logging from Mage::log(). File is located in�{{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","Logging from Mage::logException(). File is located in�{{base_dir}}/var/log"
"Logo Image Alt","Alternativa á imaxe do logotipo"
"Logo Image Src","Fonte da imaxe do logotipo"
"Manage Stores","Xestionar tendas"
"Match expressions in the same order as displayed in the configuration.","Emparellar expresións na mesma orde en que se amosan na configuración."
"Miscellaneous HTML","HTML diverso"
"Miscellaneous scripts","Miscellaneous scripts"
"Model class does not exist: %s","A classe do Modelo não existe: %s"
"Model collection resource name is not defined","O nome do recurso da colecção de modelo não está definida"
"Module ""%1$s"" can not be depended from ""%2$s""","Module ""%1$s"" can not be depended from ""%2$s"""
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","Nome"
"New Design Change","Novo cambio de deseño"
"New Store","Nova tenda"
"New Store View","Nova visualización da tenda"
"New Website","Novo sitio web"
"No","Non"
"Package","Paquete"
"Please choose to register or to checkout as a guest","Escolla rexistrarse ou confirmar o pedido como convidado"
"Please define flag code.","Defina o código de marca."
"Please enter 6 or more characters.","Introduza 6 ou máis caracteres."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Introduza 6 ou máis caracteres. Ignoraranse os espazos no inicio e no final."
"Please enter a number greater than 0 in this field.","Introduza un número maior que 0 neste campo."
"Please enter a valid $ amount. For example $100.00.","Introduza unha cantidade de € válida. Por exemplo, 100.00€."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Introduza un URL correcto. Por exemplo http://www.exemplo.com ou www.exemplo.com"
"Please enter a valid URL. http:// is required","Introduza un URL correcto. Precísase http://"
"Please enter a valid credit card number.","Introduza un número de tarxeta de crédito válido."
"Please enter a valid date.","Introduza unha data correcta."
"Please enter a valid email address. For example johndoe@domain.com.","Introduza un enderezo de correo electrónico válido. Por exemplo, nome@exemplo.com."
"Please enter a valid number in this field.","Introduza un número válido neste campo."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Introduza un número de teléfono válido. Por exemplo, (123) 456-789 ou 123-456-789."
"Please enter a valid social security number. For example 123-45-6789.","Introduza un número da seguridade social válido. Por exemplo, 12-1234567890."
"Please enter a valid zip code.","Introduza un código postal válido."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Introduza un código postal válido. Por exemplo, 12345."
"Please enter valid password.","Introduza un contrasinal válido."
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/"
"Please make sure your passwords match.","Asegúrese de que os contrasinais coinciden."
"Please select State/Province.","Escolla a provincia/estado."
"Please select an option.","Escolla unha opción."
"Please select one of the above options.","Escolla unha das opcións de arriba."
"Please select one of the options.","Escolla unha das opcións."
"Please specify payment method.","Escolla un método de pago."
"Please specify shipping method.","Escolla un método de envío."
"Please use letters only (a-z or A-Z) in this field.","Use só letras (a-z ou A-Z) neste campo."
"Please use letters only (a-z) in this field.","Use só letras (a-z) neste campo."
"Please use numbers only in this field. please avoid spaces or other characters such as dots or commas.","Use só números neste campo. Evite espazos ou outros caracteres como puntos ou comas."
"Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Use só letras (a-z) ou números (0-9) neste campo. Non se permiten espazos ou outros caracteres."
"Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.","Use só letras (a-z) ou números (0-9) ou espazos e # neste campo."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Use só letras (a-z) ou números (0-9) ou subliñado (_) neste campo. O primeiro caracter debe ser unha letra."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Use este formato de data: dd/mm/yyyy. Por exemplo, 17/05/1963 para o 17 de maio de 1963."
"Please wait, loading...","Agarde, cargando..."
"Polls","Enquisas"
"Port (25)","Porto (25)"
"Profiler","Analizador"
"Prototype Deprecation Log","Prototype Deprecation Log"
"Request path for specified store","Caminho pedido para a loja especificada"
"Requested invalid store ""%s""","Solicitouse unha tenda non válida ""%s"""
"Resource is not set","O recurso não está definido"
"Root Category","Categoría raíz"
"SMTP settings (Windows server only)","Configurações SMTP (Apenas windows)"
"Sales representative","Comercial"
"Save","Gardar"
"Save Store","Gardar tenda"
"Save Store View","Gardar visualización da tenda"
"Save Website","Gardar sitio web"
"Search Engines Optimization","Optimización para motores de busca (SEO)"
"Secure","Seguro"
"Security","Seguridade"
"Select Date","Escoller data"
"Sender email","Email do remetente"
"Sender name","Nome Remetente"
"Services","Servizos"
"Session Cookie management","Gestão de cookies de Sessão"
"Session Lifetime, Seconds","Session Lifetime, Seconds"
"Session Validation Settings","Parámetros de validación da sesión"
"Set as default","Marcar para Omissão"
"Skin (Images / CSS)","Tema (Imaxes / CSS)"
"Sort order","Ordem Apresentação"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","A data/hora especificada ""%1$s"" non coincide co formato ""%2$s""."
"Specify either category or product, or both.","Specify either category or product, or both."
"Start date can't be greater than end date","A data de início não pode ser posterior à data do fim"
"Startup page","Startup page"
"Status","Estado"
"Store","Tenda"
