"(eg: domain.com/identifier)","(ex. exemplo.com/identificador)"
"Action","Acción"
"Add New Block","Engadir un novo bloque"
"Add New Page","Engadir unha páxina nova"
"All countries","Todos os países"
"Block Information","Información do bloque"
"Block Title","Título do bloque"
"Block was successfully deleted","Bloco removido correctamente"
"Block was successfully saved","O bloco foi correctamente guardado"
"CMS","CMS"
"CMS Home Page","Páxina de inicio do CMS"
"CMS No Route Page","Páxina sen ruta do CMS"
"Content","Contido"
"Custom Design","Deseño personalizado"
"Custom Theme","Tema personalizado"
"Custom Theme From","Tema Personalizado de"
"Custom Theme To","Tema Personalizado Para"
"Customer Tax Class Information","Información da clase de imposto do cliente"
"Date Created","Creado o"
"Delete Block","Borrar bloque"
"Delete Page","Borrar páxina"
"Description","Descrición"
"Disabled","Desactivado"
"Edit Block","Editar o bloque"
"Edit Block '%s'","Editar o bloque '%s'"
"Edit Page","Editar a páxina"
"Edit Page '%s'","Editar a páxina '%s'"
"Enabled","Activado"
"General Information","Información xeral"
"Go to Home Page","Ir á páxina de inicio"
"Home","Inicio"
"Identifier","Identificador"
"Keywords","Palabras chave"
"Last Modified","Última modificación"
"Layout","Disposición"
"Layout Update XML","Actualizar disposición XML"
"Manage Pages","Xestionar páxinas"
"Meta Data","Metadatos"
"Meta Description","Metadescrición"
"Meta Keywords","Metapalabras chave"
"New Block","Novo bloque"
"New Page","Nova páxina"
"Page Identifier cannot consist only of numbers.","Identificador da página não pode ser apenas números"
"Page Identifier for specified store already exist.","Identificador de página para a Loja especificada já existe"
"Page Information","Información da páxina"
"Page Status","Estado da páxina"
"Page Title","Título da páxina"
"Page was successfully deleted","A Página foi correctamente removida"
"Page was successfully saved","A Página foi correctamente guardada"
"Poll Manager","Gestão de Sondagens"
"Product Tax Class Information","Información da clase de imposto do produto"
"SEF URL Identifier","Identificador SEF da URL"
"Save Block","Gardar bloque"
"Save Page","Gardar páxina"
"Show breadcrumbs for CMS pages","Mostrar menu de localização para as páginas CMS"
"Static Blocks","Bloques estáticos"
"Status","Estado"
"Store View","Visualización da tenda"
"Such a block identifier in selected store already exist.","Já existe um bloco com o mesmo identificador nesta Loja."
"The page you are trying to save no longer exists","A página que está a tentar salvar não existe"
"This block no longer exists","Este bloco não existe"
"This page no longer exists","Esta página já não existe"
"Title","Título"
"Unable to find a block to delete","Incapaz de encontrar o bloco a remover"
"Unable to find a page to delete","Não foi possível encontrar a página a remover"
