"Alert Email Sender","התרע אימייל השולח"
"Alert subscription was deleted successfully","התרע רישום נמחק בהצלחה"
"Alert subscription was saved successfully","התרע רישום נשמר בהצלחה"
"Allow alert when product comes back in stock","התרע כאשר מוצר חזר למלאי"
"Allow alert when product price changes","התרע כאשר מחיר מוצר משתנה"
"Click here not to receive alerts for this product","לחץ כאן כדי להפסיק לקבל התרעות לגבי מוצר זה"
"Error Email Recipient","שגיאה באימייל הנמען"
"Error Email Sender","שגיאה באימייל השולח"
"Error Email Template","שגיאה בתבנית האימייל"
"Frequency","תדירות"
"Not enough parameters","לא מספק פרמטרים"
"Please try again later","אנא נסה שוב מאוחר יותר"
"Price alert Email Template","תבנית אימייל לתזכורת שינוי מחיר"
"Price:","מחיר:"
"Product Alerts","תזכורות מוצר"
"Product Alerts Run Settings","הגדרות הרצת התרעות מוצרים"
"Product alerts Cron error","שגיאת cron של התרעות מוצר"
"Product not found","המוצר לא נמצא"
"Product price alert","תזכורת מחיר מוצר"
"Product stock alert","תזכורת מלאי למוצר"
"Sign up for price alert","הרשם לתזכורת מחיר"
"Sign up to get notified when this product is back in stock","הרשם כדי לקבל תזכורת כאשר מוצר זה יהיה במלאי"
"Special price:","מחיר מבצע:"
"Start Time","שעת התחלה"
"Stock alert Email Template","תזכורת מלאי - תבנית אימייל"
"Unsubscribe from all price alerts","הסר רישום מכל תזכורות מחיר"
"Unsubscribe from all stock alerts","הסר רישום מכל תזכורות מלאי"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","ביקשת לקבל תזכורת כאשר המוצרים הבאים חוזרים למלאי:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","ביקשת לקבל תזכורות כאשר מחירי המוצרים הבאים משתנים:"
"You will no longer receive price alerts for this product","You will no longer receive price alerts for this product"
"You will no longer receive stock alerts","You will no longer receive stock alerts"
"You will no longer receive stock alerts for this product","You will no longer receive stock alerts for this product"
