"Alert Email Sender","Odesilatel varovného emailu"
"Alert subscription was deleted successfully","Odebírání varování úspěšně smazáno"
"Alert subscription was saved successfully","Odebírání varování úspěšně uloženo"
"Allow alert when product comes back in stock","Povolit upozorňování pokud se produkt vrátí zpět na sklad"
"Allow alert when product price changes","Povolit upozorňování pokud se změní cena"
"Click here not to receive alerts for this product","Klepněte zde pro zrušení hlídání této položky"
"Error Email Recipient","Chyba E-mailového příjemce"
"Error Email Sender","Chyba E-mailového odesilatele"
"Error Email Template","Chyba v emailové šabloně"
"Frequency","Četnost"
"Not enough parameters","Nedostatek parametrů"
"Please try again later","Prosím zkuste to později"
"Price alert Email Template","Šablona emailu cenového upozornění"
"Price:","Cena:"
"Product Alerts","Výstrahy pro produkt"
"Product Alerts Run Settings","Nastavení běhu produktového upozorňování"
"Product alerts Cron error","Chyba Cronu při produktovém upozorňování"
"Product not found","Produkt nenalezen"
"Product price alert","Upozornění na cenu produktu"
"Product stock alert","Upozornění na stav skladu produktu"
"Sign up for price alert","Odebírat upozornění na cenu"
"Sign up to get notified when this product is back in stock","Odebírat upozornění pokud je zboží opět skladem"
"Special price:","Zvláštní cena:"
"Start Time","Doba startu"
"Stock alert Email Template","Šablona emailu skladového upozornění"
"Unsubscribe from all price alerts","Odhlásit z hlídání všech cen"
"Unsubscribe from all stock alerts","Odhlásit z hlídání všech stavů skladu"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Obdržel jste tuto zprávu proto, že jste se přihlásil k odběru upozorňění pokud bude zboží opět na skladě:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Obdržel jste tuto zprávu proto, že jste chtěl být upozorněn, pokud dojde ze změně ceny následujících produktů:"
"You will no longer receive price alerts for this product","Nebudete již nadále dostávat upozorňování na změnu ceny produktů"
"You will no longer receive stock alerts","Nebudete již nadále dostávat upozornění na změnu stavu skladu."
"You will no longer receive stock alerts for this product","Nebudete nadále dostávat upozornění na změnu stavu skladu tohoto výrobku"
