"%s and greater","%s veya daha büyük"
"Advanced Search","Gelişmiş Arama"
"All","Hepsi"
"Applies for ""Like"" Search type only","Sadece ""Like"" (Benzer) tipinde arama tipini uygular"
"Apply Layered Navigation if search results are less than","Arama sonuçları şu değerden az ise Katmanlı Gezinme Bölümüne uygula : "
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Özellik ayar değişikliği Arama İndeksi ile bağlantılı. Lütfen <a href=""%s"">Arama İndekslerini Yenile</a> işlemini çalıştırın"
"Autogenerated site map","Otomatik oluşturulmuş site haritası"
"Catalog Advanced Search","Katalogda Gelişmiş Arama"
"Catalog Search","Katalog Araması"
"Don't see what you're looking for?","Aradığınız şeyi bulamadınız mı ?"
"Go","Git"
"Go to Home Page","Ana Sayfaya Git"
"Grid","Izgara"
"Home","Ana Sayfa"
"List","Liste"
"Maximum Query Length","En fazla Arama Uzunluğu"
"Maximum Query Words Count","En fazla Arama Kelime Sayısı"
"Maximum Search query  length is %s. Your query was cut.","En fazla Arama Uzunluğu : %s. Bu uzunluktan sonraki karakterler gözardı edilecektir."
"Minimal Query Length","En az Arama Uzunluğu"
"Modify your search","Aramanızı düzenleyin"
"No","Hayır"
"No items were found using the following search criteria.","Arama kriterlerine uygun sonuç bulunamadı."
"Please enter ""0"" to enable layered navigation for any number of results","Katmanlı Gezinme Bölümünde arama sonuçlarına sınır koymamak için ""0"" yazınız"
"Popular Search Terms","En Çok Arananlar"
"Popular search terms","En çok arananlar"
"Relevance","İlişki"
"Required Fields","Zorunlu Alanlar"
"Results","Sonuçlar"
"Search","Arama"
"Search Settings","Arama Ayarları"
"Search Site","Sitede Ara"
"Search Terms","Arananlar"
"Search Type","Arama Tipi"
"Search entire store here...","Aranan kelimeyi buraya yazınız..."
"Search results for '%s'","'%s' için Arama Sonuçları"
"Search results for: '%s'","'%s' için Arama Sonuçları"
"Subscribe to Feed","Veri Akışına Üye Ol"
"There are no search terms available.","Arama kelimesi bulunamadı."
"Yes","Evet"
"You have to specify at least one search term","En az bir kelime girmelisiniz"
"Your search returns no results.","Arama sonucunda sonuç yok."
"up to %s","%s'e kadar"
"<strong>%d item(s)</strong> were found using the following search criteria","Aradığınız kelime ile <strong>%d ürün</strong> bulundu"
"Is product available for purchase with Google Checkout","Ürün Google Checkout üzerinden satılsın mı"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
