"-- Please Select --","-- Vyberte prosím --"
"State","Štát"
"State/Region","Štát/Región"
"Error while deleting this rate. Please try again later.","Chyba počas mazania tejto sadzby. Skúste prosím opakovať neskôr."
"Error while deleting this rate. Incorrect rate ID","Chyba počas mazania tejto sazby. Neplatné ID sadzby"
"Error while deleting this class. Please try again later.","Chyba počas mazania tejto skupiny. Skúste prosím opakovať neskôr."
"Error while deleting this tax rule. Please try again later.","Chyba počas mazania tohto daňového pravidla. Skúste prosím opakovať neskôr."
"Error while saving this tax class. Please try again later.","Chyba počas ukladania tejto daňovej skupiny. Skúste prosím opakovať neskôr."
"Error while saving this rate. Please try again later.","Chyba počas ukladania tejto sadzby. Skúste prosím opakovať neskôr."
"Error while saving this tax rule. Please try again later.","Chyba počas ukladania tohto daňového pravidla. Skúste prosím opakovať neskôr."
"Invalid data for tax rate calculation","Chybné údaje pre výpočet daňovej sadzby"
"Incorrect rate Data","Chybné sadzobné dáta"
"CSV","CSV"
"Tax","Daň"
"Tax Rate","Daňová sadzba"
"Tax rate was successfully imported","Daňová sadzba bola úspešne importovaná"
"Tax rate was successfully saved","Daňová sadzba bola úspešne uložená"
"Tax rate was successfully deleted","Daňová sadzba bola úspešne zmazaná"
"Tax class was successfully saved","Daňová skupina bola úspešne uložená"
"Tax class was successfully deleted","Daňová skupina bola úspešne zmazaná"
"Product Tax Class","Daňová skupina produktu"
"Tax Rules","Daňové pravidlá"
"Tax rule was successfully saved","Daňové pravidlo bolo úspešne uložené"
"Tax rule was successfully deleted","Daňové pravidlo bolo úspešne zmazané"
"Product Tax Classes","Daňové skupiny produktov"
"Edit Tax Rate","Editovať daňovú sadzbu"
"Edit Rule","Editovať pravidlo"
"Edit Class","Editovať skupinu"
"Edit Class '%s'","Editovať skupinu '%s'"
"Error while saving this tax class. Class with the same name ","Error while saving this tax class. Class with the same name "
"Error while saving this tax rule. This product tax class and customer tax class combination","Error while saving this tax rule. This product tax class and customer tax class combination"
"Export Tax Rates","Exportovať daňové sadzby"
"ID","ID"
"Import / Export Tax Rates","Import/Export daňových sadzieb"
"Import Tax Rates","Importovať daňové sadzby"
"Tax Rate Information","Informácie o daňovej sadzbe"
"Product Tax Class Information","Informácie o daňovej skupine produktu"
"Tax Rule Information","Informácie o daňovom pravidle"
"Customer Tax Class Information","Informácie o zákazníckej daňovej skupine"
"County","Kraj"
"Country","Krajina"
"Are you sure you want to do this?","Naozaj chcete toto vykonať?"
"Class Name","Názov skupiny"
"You cannot delete this tax class as it is used for %d products.","Nemôžete zmazať túto daňovú skupinu, nakoľko je používaná pre %d produkty."
"You cannot delete this tax class as it is used for %d customer groups.","Nemôžete zmazať túto daňovú skupinu, nakoľko je používaná pre %d zákaznícku skupinu."
"You cannot delete this tax class as it is used in Tax Rules. You have to delete the rules it is used in first.","Nemôžete zmazať túto daňovú skupinu, nakoľko je používaná v daňových pravidlách. Musíte najskôr zmazať pravidlá a až potom skupinu."
"NONE","NONE"
"New Tax Rate","Nová daňová sadzba"
"New Class","Nová skupina"
"New Rule","Nové pravidlo"
"One of row has invalid country code.","One of row has invalid country code."
"Invalid file format upload attempt","Pokus o nahratie chybného formátu súboru"
"Invalid file upload attempt","Pokus o nahratie chybného súboru"
"Add New Tax Rule","Pridať nové daňové pravidlo"
"Add New Tax Rate","Pridať novú daňovú sadzbu"
"Add New Class","Pridať novú triedu"
"Zip/Post Code","PSČ"
"Reset","Resetovať"
"Back","Späť"
"Manage Product Tax Classes","Spravovať produktové daňové skupiny"
"Manage Customer Tax Classes","Spravovať zákaznícke daňové skupiny"
"Manage Tax Rules","Správa daňových pravidiel"
"Manage Tax Rates","Správa daňových sadzieb"
"Tax Rates","Tax Rates"
"Tax Rates Import / Export","Tax Rates Import / Export"
"This class no longer exists","Táto skupina už neexistuje"
"This rule no longer exists","Toto pravidlo už neexistuje"
"Sales","Tržba"
"Save Rate","Uložiť pomer"
"Save Rule","Uložiť pravidlo"
"Save Class","Uložiť skupinu"
"Inc. Tax","Vrátane dane"
"Excl. Tax","Vyňať daň"
"Please select State","Vyberte prosím štát"
"Please select County","Vyberte prosím kraj"
"Please select Country","Vyberte prosím krajinu"
"XML","XML"
"Incl. Tax","Započítať daň"
"Customer Tax Class","Zákaznícka daňová skupina"
"Customer Tax Classes","Zákaznícke daňové skupiny"
"Delete Rule","Zmazať pravidlo"
"Delete Rate","Zmazať sadzbu"
"Delete Class","Zmazať skupinu"
