"Shipping Address","Adresa doručenia"
"Update Shipping Method","Aktualizovať metódu doručenia"
"API Password","API Password"
"API Signature","API Signature"
"API User Name","API User Name"
"Business Account","Business Account"
"Business Name","Business Name"
"Price","Cena"
"Credit Card Types","Credit Card Types"
"Debug Flag","Debug Flag"
"Edit Shopping Cart","Editovať nákupný košík"
"Enabled","Enabled"
"Billing Information","Fakturačné údaje"
"Shipping Information","Informácie o doručení"
"You will be redirected to PayPal website when you place an order.","Keď vykonáte objednávku, budete presmerovaný na stránku PayPal."
"Subtotal","Medzisúčet"
"Shipping Method","Metóda doručenia"
"Qty","Množ."
"Product Name","Názov produktu"
"New order status","New order status"
"Submitting order information...","Odosielané objednávkové informácie..."
"Payment Action","Payment Action"
"Payment from applicable countries","Payment from applicable countries"
"Payment from Specific countries","Payment from Specific countries"
"PayPal Account","PayPal účet"
"PayPal Email","PayPal Email"
"Paypal Logo Image URL(150x150)","Paypal Logo Image URL(150x150)"
"Payment Method","Platobná metóda"
"Items in Your Shopping Cart","Položky vo Vašom nákupnom košíku"
"Sorry, no quotes are available for this order at this time.","Prepáčte, ale pre túto objednávku práve teraz nie sú dostupné žiadne ceny."
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sandbox Flag","Sandbox Flag"
"Sort order","Sort order"
"Review Order","Spracovať objednávku"
"Title","Title"
"Transaction Type","Transaction Type"
"Type","Type"
"Use Proxy","Use Proxy"
"Your billing address will be ignored and you will be redirected to PayPal website","Vaša fakturačná adresa bude ignorovaná a budete presmerovaný na stránku PayPal"
"Place an Order","Vytvorte objednávku"
"Website Payments Pro (Express, Direct)","Website Payments Pro (Express, Direct)"
"Website Payments Standard","Website Payments Standard"
"You will be redirected to paypal in a few seconds.","You will be redirected to paypal in a few seconds."
"Change Shipping Address","Zmena adresy doručenia"
"Change Payment Method","Zmena platobnej metódy"
"Please select a shipping method...","Zvoľte prosím metódu doručenia..."
