"Active","Aktívne"
"Update prices using the following information","Aktualizovať ceny použitím nasledujúcich informácií"
"Update the Product","Aktualizovať produkt"
"Update product's %s %s: %s","Aktualizovať produkty %s %s: %s"
"Yes","Áno"
"Special price","Špeciálna cena"
"Shipping State/Province","Štát/Provincia doručenia"
"Total Weight","Celková hmotnosť"
"Total Items Quantity","Celkové množstvo položiek"
"Price in cart","Cena v košíku"
"Shopping Cart Price Rules","Cenové pravidlá košíka"
"Checkout Price Rule","Checkout Price Rule"
"Conditions Combination","Conditions Combination"
"Date Expire","Dátum vypršania"
"To Date","Do dátumu"
"Free shipping","Doručenie zdarma"
"Edit Rule","Editovať pravidlo"
"Edit Rule '%s'","Editovať pravidlo '%s'"
"For matching items only","Iba pre vybrané položky"
"ID","ID"
"Rule Information","Informácie o pravidle"
"Invalid discount amount.","Invalid discount amount."
"Catalog","Katalóg"
"Coupon Code","Kód kupónu"
"Coupon code","Kód kupónu"
"Buy X get Y free (discount amount is Y)","Kúpte X a získate Y zdarma (zľavnené množstvo je Y)"
"Conditions combination","Kombinácia podmienok"
"Product attribute combination","Kombinácia vlastností produktu"
"Shipping Country","Krajina doručenia"
"Maximum Qty Discount is Applied to","Maximálna množstvá zľava je použitá pre"
"Subtotal","Medzisúčet"
"Shipping Method","Metóda doručenia"
"Payment Method","Metóda platby"
"Discount Qty Step (Buy X)","Množstevná zľava (Kúpte X)"
"Quantity in cart","Množstvo v košíku"
"Rule Name","Názov pravidla"
"Name: %s","Názov: %s"
"Inactive","Neaktívne"
"NOT LOGGED IN","NEPRIHLÁSENÝ"
"No","Nie"
"Unable to find a page to delete","Nie je možné nájsť stránku pre zmazanie"
"New Rule","Nové pravidlo"
"From Date","Od dátumu"
"Actions","Operácie"
"Percent of product price discount","Percentuálna zľava z ceny produktu"
"To Percentage","Percentuálne"
"By Percentage","Percentuálne"
"To Percentage of the original price","Percentuálne z pôvodnej ceny"
"By Percentage of the original price","Percentuálne z pôvodnej ceny"
"Fixed amount discount","Pevná množstevná zľava"
"Fixed amount discount for whole cart","Pevná množstevná zľava pre celý košík"
"Row total in cart","Počet riadkov v košíku"
"Date Start","Počiatočný dátum"
"By Fixed Amount","Podľa pevného množstva"
"By Fixed value","Podľa pevnej hodnoty"
"Conditions","Podmienky"
"Description","Popis"
"Description: %s","Popis: %s"
"Uses per coupon","Používa na kupón"
"Uses per customer","Používa na zákazníka"
"Apply","Použiť"
"Apply the rule to cart items matching the following conditions","Použiť pravidlo iba ak položky v košíku spĺňajú nasledujúce podmienky"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Použiť pravidlo iba ak položky v košíku spĺňajú nasledujúce podmienky (ponechajte prázdne pre všetky položky)"
"Apply the rule only if the following conditions are met (leave blank for all products)","Použiť pravidlo iba v prípade zhody nasledujúcich podmienok (ponechajte prázdne pre všetky produkty)"
"Apply to","Použiť pre"
"Rule was successfully saved","Pravidlo bolo úspešne uložené"
"Rule was successfully deleted","Pravidlo bolo úspešne zmazané"
"For shipment with matching items","Pre doručenie so zodpovedajúcimi položkami"
"To Fixed Amount","Pre pevné množstvo"
"To Fixed Value","Pre pevnú hodnotu"
"Add New Rule","Pridať nové pravidlo"
"Priority","Priorita"
"Promotions","Propagácie"
"Shipping Postcode","PSČ doručenia"
"Shipping Region","Región doručenia"
"Shopping Cart Price Rule","Shopping Cart Price Rule"
"Status","Stav"
"The page you are trying to save no longer exists","Stránku, ktorú sa pokúšate uložiť už neexistuje"
"This rule no longer exists","Toto pravidlo už neexistuje"
"Save Rule","Uložiť pravidlo"
"Public In RSS Feed","Uverejniť na RSS kanáli"
"General Information","Všeobecné informácie"
"Discount amount","Veľkosť zľavy"
"Cart Attribute","Vlastnosti košika"
"Expire at: %s","Vyprší: %s"
"Start at: %s","Začni na: %s"
"Stop further rules processing","Zastaviť spracovane ďalších pravidiel"
"Customer is new buyer: %s","Zákazník je nový nákupca: %s"
"Customer registered: %s","Zákazník registrovaný: %s"
"Customer Groups","Zákaznicke skupiny"
"Delete Rule","Zmazať pravidlo"
