"%s - Discounts and Coupons","%s – descontos e cupons"
"%s - Special Discounts","%s – descontos especiais"
"%s RSS Feed","%s RSS Feed"
"%s has reached a quantity of %s.","%s atingiu uma quantidade de %s."
"%s's Wishlist","%s's lista de desejos"
"Cannot retrieve the wishlist","Não foi possível obter lista de desejos"
"Catalog","Catálogo"
"Category Feeds","Categoria Feeds"
"Comment: %s<br/>","Comentário: %s<br/>"
"Coupons/Discounts","Cupons/Descontos"
"Current Status: %s<br/>","Status atual: %s<br/>"
"Customer Name: %s","Nome do cliente: %s"
"Customer Order Status Notification","Notificação de status de pedido de cliente"
"Details for %s #%s","Detalhes de %s número %s"
"Discount ","Desconto"
"Enable RSS","Ativar RSS"
"Error in processing xml. %s","Erro ao processar XML. %s"
"From:","De:"
"Get Feed","Pegar Feed"
"Gift Message","Mensagem de presente"
"Grand Total","Total"
"Low Stock Products","Produtos com estoque baixo"
"Message:","Mensagem:"
"Miscellaneous Feeds","Feeds variados"
"New Orders","Novos pedidos"
"New Products","Novos produtos"
"New Products from %s","Novos produtos de %s"
"Notified Date: %s<br/>","Data da notificação: %s<br/>"
"Order # %s Notification(s)","Notificação(ões) do pedido número %s"
"Order #%s created at %s","Pedido número %s criado em %s"
"Pending product review(s)","Opinião(ões) pendente(s) do produto"
"Product: ""%s"" review By: %s","Produto: ""%s"" avaliado por: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produto: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produtos tagged com %s"
"Purchased From: %s","Comprado de: %s"
"RSS","RSS"
"RSS Feeds","RSS Feed"
"RSS testing","Teste de RSS"
"Review: %s <br/>","Opinião: %s <br/>"
"Rss Config","Config RSS"
"Rss Feeds Section","Seção RSS Feeds"
"Shipping & Handling","Envio e manuseio"
"Special Products","Produtos especiais"
"Special/Discount Products","Produtos especiais/com desconto"
"Store: %s <br/>","Loja: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Sumário da opinião: %s <br/>"
"Tags Products","Tags dos Produtos"
"Tax","Imposto"
"There are no Rss Feeds","Não existem RSS Feeds"
"There are no Rss Feeds.","Não existem RSS Feeds."
"To:","Para:"
"Top Level Category","Categoria alto nível"
"Total Products: %s","Total de produtos: %s"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Lista de desejos"
"click <a href=""%s"">here</a> to view the review","clique <a href=""%s"">aqui</a> para ver opinião"
