"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Salli määräksi pienempi kuin 0"
"Allow Qty Below 0 and Notify Customer","Salli määräksi pienempi kuin 0 ja ilmoita asiakkaalle"
"Backorders","Jälkitoimitukset"
"By Fixed value","Tietyllä summalla"
"By Percentage","Prosentilla"
"Can not specify product identifier for order item","Tuotteen tunnistetta ei voida määritellä"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Vähennä varastosta kun tilaus on tehty"
"In Stock","In Stock"
"Inventory","Inventaario"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Ota varastonhallinta käyttöön"
"Maximum Qty Allowed in Shopping Cart","Ostoskorin maksimituotemäärä"
"Minimum Qty Allowed in Shopping Cart","Ostoskorin minimituotemäärä"
"No Backorders","Ei jälkitoimituksia"
"Notify for Quantity Below","Ilmoita määrä alla"
"Out of Stock","Loppu varastosta"
"Product Stock Options","Tuotteiden varastoasetukset"
"Qty for Items' Status to become Out of Stock","Määrä jolloin tuotteen saatavuudeksi päivitetään ""Loppu varastosta"""
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Määrää hinta"
"Set Items' Status to be In Stock When Order is Cancelled","Palauta tuote varastoon, jos tilaus perutaan"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Varastoasetukset"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","Valitsemaasi tuotetta ""%s"" ei ole saatavilla."
"The requested quantity is not available.","Toivottua määrää ei ole saatavilla."
"This product is currently out of stock.","Tuote on tällä hetkellä loppu varastosta."
"To Fixed Value","Hintaan asti"
"To Percentage","Prosenttiin asti"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Päivitä tuote"
