"%d Review(s)","%d bedømmelse(r)"
"%s Review(s)","%s bedømmelse(r)"
"(Posted on %s)","(Indsendt den %s)"
"1 star","1 stjerne"
"2 stars","2 stjerner"
"3 stars","3 stjerner"
"4 stars","4 stjerner"
"5 stars","5 stjerner"
"Add New Review","Tilføj bedømmelse"
"Add Your Review","Tilføj din bedømmelse"
"Administrator","Administrator"
"All Reviews","Alle bedømmelser"
"All reviews of customer `%s`","Alle bedømmelser fra kunden `%s`"
"Allow guests to write reviews","Tillad gæster at skrive bedømmelser"
"Are you sure you want to do this?","Er du sikker på, at du ønsker at udføre denne handling?"
"Are you sure?","Er du sikker?"
"Average Customer Rating","Gennemsnitskarakter"
"Average Customer Rating:","Gennemsnitskarakter:"
"Back","Tilbage"
"Back to Main Product Info","Tilbage til produktside"
"Back to My Reviews","Tilbage til Mine bedømmelser"
"Back to Product Reviews","Tilbage til bedømmelser"
"Be the first to review this product","Vær den første til at bedømme dette produkt"
"Created On","Oprettet den"
"Customer","Kunde"
"Customer Reviews","Bedømmelser"
"Delete","Slet"
"Delete Review","Slet bedømmelse"
"Detailed Rating","Karakterer"
"Edit Review '%s'","Rediger bedømmelsen '%s'"
"Guest","Gæst"
"How do you rate this product?","Giv produktet karakterer"
"ID","ID"
"Manage Ratings","Administrer karakterer"
"My Product Reviews","Mine bedømmelser"
"My Recent Reviews","Mine seneste bedømmelser"
"Name","Navn"
"Name In Store","Navn i forretning"
"New Review","Ny bedømmelse"
"Nickname","Alias"
"Pending Reviews","Manglende godkendelse"
"Pending reviews","Manglende godkendelse"
"Pending reviews of customer `%s`","Bedømmelser fra `%s` der mangler godkendelse"
"Please select a product","Vælg venligst et produkt"
"Please select one of each of the ratings above","Giv venligst din karakter til alle områder ovenfor"
"Posted By","Skrevet af"
"Price","Pris"
"Product","Produkt"
"Product Name","Produktnavn"
"Product Rating","Karakterer"
"Product Rating:","Produktkarakter:"
"Product Review (submitted on %s):","<strong>Bedømmelse</strong> (indsendt den %s):"
"Product Reviews","Bedømmelser"
"Product SKU","Produktets varenummer"
"Qty","Antal"
"Rating:","Karakter:"
"Review","Bedømmelse"
"Review Details","Bedømmelse"
"Review by %s","Bedømt af <em>%s</em>"
"Reviews and Ratings","Bedømmelser og karakterer"
"SKU","Varenummer"
"Save Review","Gem bedømmelse"
"Status","Status"
"Submit Review","Indsend bedømmelse"
"Summary Rating","Gennemsnitskarakter"
"Summary of Review","Overskrift"
"Summary of Your Review","Overskrift"
"Summary of review","Overskrift"
"Title","Titel"
"Type","Type"
"Unable to post review. Please, try again later.","Kunne ikke gemme din bedømmelse. Prøv venligst igen senere."
"Update status","Opdater status"
"View All Reviews","Vis alle"
"View Details","Se detaljer"
"Visible In","Synlig i"
"Websites","Websites"
"Write Your Own Review","Indsend din bedømmelse"
"You have submitted no reviews.","Du har ikke bedømt varer endnu"
"You're reviewing: %s","Du anmelder: %s"
"Your Rating:","Dine karakterer:"
"Your Review (submitted on %s):","<strong>Din bedømmelse</strong> (indsendt den %s):"
"Your review has been accepted for moderation","Din bedømmelse er modtaget og afventer godkendelse."
"OR","OR"
"My Product Reviews","My Product Reviews"
