"%s is not correct comparsion method.","%s er ikke en korrekt sammenligningsmetode."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Bemærk venligst</strong>, at disse indstillinger gælder for linier i indkøbskurven, ikke hele kurven."
"Allow Qty Below 0","Tillad antal under 0"
"Allow Qty Below 0 and Notify Customer","Tillad antal under 0 og send info-besked til kunde"
"Backorders","Restordrer"
"By Fixed value","Med fast værdi"
"By Percentage","Med procent"
"Can not specify product identifier for order item","Kan ikke specificere produkt-identifikator for vare på ordren."
"Catalog Inventory","Kataloglager"
"Decrease Stock When Order is Placed","Nedtæl lager når ordren er lagt"
"In Stock","På lager"
"Inventory","Lager"
"Inventory API","Lager-API"
"Inventory Section","Lagersektion"
"Manage Stock","Administrer lager"
"Maximum Qty Allowed in Shopping Cart","Max-antal tilladt i indkøbskurv"
"Minimum Qty Allowed in Shopping Cart","Min-antal tilladt i indkøbskurv"
"No Backorders","Ingen restordrer"
"Notify for Quantity Below","Overvågningsbesked for antal under"
"Out of Stock","Ikke på lager"
"Product Stock Options","Produktlagermuligheder"
"Qty for Items' Status to become Out of Stock","Antal for at varens status bliver 'ikke på lager'"
"Retrieve stock data","Hent lagerdata"
"Retrieve stock data by product ids","Hent lagerdata efter produkt-ID'er"
"Rule price","Prisregel"
"Set Items' Status to be In Stock When Order is Cancelled","Sæt produktets status til 'på lager' når en ordre annulleres"
"Some of the products are currently out of stock","Nogle af produkterne er i øjeblikket ikke på lager"
"Some of the products can not be ordered in requested quantity","Nogle af produkterne kan ikke bestilles i den angivne mængde"
"Some of the products cannot be ordered in the requested quantity","Nogle af produkterne kan ikke bestilles i den angivne mængde"
"Stock Options","Lagermuligheder"
"Stock item for Product in option is not valid","Lagerenhed for produkt er ugyldig"
"Stock item for Product is not valid","Lagerenhed for produkt er ugyldig"
"The maximum quantity allowed for purchase is %s.","Maks-mængde tilladt for køb er %s."
"The minimum quantity allowed for purchase is %s.","Min-mængde tilladt for køb er %s."
"The requested quantity for ""%s"" is not available.","Det ønskede antal af ""%s"" er ikke på lager."
"The requested quantity is not available.","Det ønskede antal er ikke på lager."
"This product is currently out of stock.","Produktet er i øjeblikket ikke på lager."
"To Fixed Value","Til fast værdi"
"To Percentage","Til procent"
"Update","Opdater"
"Update product stock data","Opdater lagerdata for produkt"
"Update the Product","Opdater produktet"
