"Actions","العمليات"
"Active","نشط"
"Add New Rule","اضف قاعدة جديدة"
"Apply Rules","طبق القواعد"
"Attribute Set","Attribute Set"
"Catalog","كتالوج"
"Catalog Price Rule","قاعدة الاسعار فى الكتالوج"
"Catalog Price Rules","قواعد الاسعار فى الكتالوج"
"Category","تصنيف"
"Comments History","تاريخ التعليقات"
"Conditions","الحالات"
"Conditions (leave blank for all products)","Conditions (leave blank for all products)"
"Conditions Combination","Conditions Combination"
"Credit Memos","Credit Memos"
"Customer Groups","مجموعات العملاء"
"Customer is new buyer: %s","العميل : شار جديد: %s"
"Customer registered: %s","العميل المسجل: %s"
"Date Expire","تاريخ الانتهاء"
"Date From","تاريخ البداية"
"Date Start","بداية بتاريخ"
"Date To","حتى تاريخ"
"Delete Rule","احذف قاعدة"
"Description","الوصف"
"Description: %s","الوصف: %s"
"Edit Rule","حرر قاعدة"
"Edit Rule '%s'","حرر قاعدة '%s'"
"Expire at: %s","تنتهى عند: %s"
"From Date","من تاريخ"
"General Information","المعلومات العامة"
"Gift Messages","Gift Messages"
"ID","المعرف"
"Inactive","غير نشط"
"Invoices","الفواتير"
"NOT LOGGED IN","غير مسجل الدخول"
"Name: %s","الأسم: %s"
"New Rule","قاعدة جديدة"
"No","لا"
"Options","الخيارات"
"Order Credit Memos","Order Credit Memos"
"Order Gift Messages","Order Gift Messages"
"Order History","تاريخ الطلبات"
"Order Invoices","تاريخ الفواتير"
"Order Shipments","تاريخ الشحن"
"Priority","الاولوية"
"Product Attribute","Product Attribute"
"Promotions","Promotions"
"Rule Information","Rule Information"
"Rule Name","أسم القاعدة"
"Rule was successfully deleted","تم حذف القاعدة بنجاح"
"Rule was successfully saved","تم حفظ القاعدة بنجاح"
"Rules were successfully applied","تم تطبيق القاعدة بنجاح"
"Save Rule","احفظ القاعدة"
"Save and Apply","احفظ و طبق"
"Shipments","الشحنات"
"Start at: %s","ابدأ عند: %s"
"Status","الحالة"
"Stop further rules processing","اوقف تطبيق القوانين مستقبلا"
"The page you are trying to save no longer exists","الصفحة التى تحاول حفظها لم تعد موجودة"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","هذة القاعدة لم تعد موجودة"
"To Date","حتى تاريخ"
"Unable to apply rules","لا يمكن تطبيق هذة القواعد"
"Unable to find a page to delete","لا يمكن ايجاد هذة الصفحة لحذفها"
"Update product's %s %s: %s","تحديث بيانات المنتج %s %s: %s"
"Websites","الموقع"
"Yes","نعم"
