"1 star","1 звезда"
"2 stars","2 звезди"
"3 stars","3 звезди"
"4 stars","4 звезди"
"5 stars","5 звезди"
"Add New Rating","Добавяне на нов рейтинг"
"Assigned Options","Налични опции"
"Be the first to review this product","Бъдете първи и напишете мнение за този продукт"
"Default Value","Стойност по подразбиране"
"Delete Rating","Изтриване на рейтинг"
"Edit Rating","Редакция на рейтинг"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Ще се използва стйността по подразбиране, ако не е посочено заглавие на рейтинг за магазина."
"Manage Ratings","Управление рейтинзи"
"New Rating","Нов рейтинг"
"Option Label","Опция етикет"
"Option Title","Опция заглавие"
"Option Title:","Опция заглавие:"
"Please select one of each ratings above","Моля, изберете един от посочените по-горе рейтинзи"
"Rating Information","Рейтинг информация"
"Rating Name","Име на рейтинг"
"Rating Options","Опции на рейтинг"
"Rating Title","Заглавие на рейтинг"
"Rating Visibility","Видимост на рейтинг"
"Rating isn't Available","Неналичен рейтинг"
"Rating with the same title","Рейтинг със същото заглавие"
"Save Rating","Съхраняване на рейтинг"
"Visible In","Видим в"
