"API Login ID","API ID за вход"
"Authorize Only","Само оторизиране"
"Authorize and Capture","Оторизира и изпълнява"
"Authorize.net","Authorize.net"
"Credit Card Types","Типове кредитни карти"
"Credit Card Verification","Верифициране на кредитна карта"
"Debug","Дебъг"
"Email customer","Изпрати имейл на клиент"
"Enabled","Активно"
"Error in authorizing the payment","Грешка в оторизиране на заплащането"
"Error in capturing the payment","грешка в получаване на заплащането"
"Error in payment gateway","Грешка във gateway на заплащането"
"Error in refunding the payment","Грешка във възстановяване на заплащането"
"Error in refunding the payment.","Грешка при връщане на сума на плащане."
"Error in retrieving the transaction","Грешка в получаване на транзакцията"
"Fraud order status","Статус на фалшиви поръчки"
"Gateway request error: %s","Грешка в заявката на Gateway: %s"
"Invalid amount for authorization","Невалидна сума за ауторизация"
"Invalid amount for authorization.","Невалидна сума за оторизация."
"Invalid transaction id","Невалидно id на транзакция"
"Maximum Order Total","Максимална сума на поръчка"
"Merchant Login","Вход за търговец"
"Merchant's email","Имейл на търговец"
"Minimum Order Total","Минимална сума на поръчка"
"New order status","Статус на нови поръчки"
"Partner","Партньор"
"Password","Парола"
"Payflow Pro","Payflow Pro"
"Payment Action","Действие за плащане"
"Payment authorization error.","Грешка при оторизация за плащане."
"Payment authorization transaction has been declined.","Транзакция за оторизиране на плащане беше отказана."
"Payment from Specific countries","Избор на държави"
"Payment from applicable countries","Разрешени държави"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","Ред на сортиране"
"TENDER","TENDER"
"Test mode","Тестов режим"
"Title","Заглавие"
"Transaction key","Ключ на транзакция"
"URL","URL"
"Use Proxy","Use Proxy"
"User","Потребител"
"VERBOSITY","VERBOSITY"
"Voided transaction","Свободна транзакция"
