"Action","Действие"
"Add Sitemap","Добави карта на сайта"
"Always","Винаги"
"CMS Pages Options","Опции за CMS страници"
"Categories Options","Опции за категории"
"Daily","Дневно"
"Edit Sitemap","Редакция"
"Enabled","Активно"
"Error Email Recipient","Имейл получател за грешки"
"Error Email Sender","Имейл подател за грешки"
"Error Email Template","Имейл шаблон за грешки"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","Файл ""%s"" не може да бъде записан. Моля уверете се, че директория ""%s"" има права за писане."
"Filename","Име на файл"
"Frequency","Честота"
"Generate","Генерирай"
"Generation Settings","Опции за генериране"
"Google Sitemap","Google карта на сайта"
"Google Sitemap Section","Google Sitemap Section"
"Hourly","Почасово"
"ID","ID"
"Last Time Generated","Последно генериран"
"Link for Google","Линк към Google"
"Monthly","Месечно"
"Never","Никога"
"New Sitemap","Нова карта на сайта"
"Path","Път"
"Please create the specified folder ""%s"" before saving the sitemap.","Моля създайте директория ""%s"" преди да запазите картата на сайта."
"Please define correct path","Моля посочете правилен път"
"Please make sure that ""%s"" is writable by web-server.","Моля уверете се, че уеб сървъра има права за писане върху ""%s""."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Използвайте само букви (a-z or A-Z), числа (0-9) или долна черта (_) за име на файл. Не са разрешени други символи или празни места."
"Priority","Приоритет"
"Priority must be between 0 and 1","Приоритета трябва да е между 0 и 1"
"Products Options","Опции за продукт"
"Sitemap","Карта на сайта"
"Sitemap ""%s"" has been successfully generated","Sitemap ""%s"" has been successfully generated"
"Sitemap generate Warnings","Предупреждения при генериране"
"Sitemap was successfully deleted","Успешно изтриване на картата на сайта"
"Sitemap was successfully saved","Успешно запазване на картата на сайта"
"Start Time","Начало"
"Store View","Изглед на магазин
The priority must be between 0 and 1."""
"This sitemap no longer exists","Тази карта на сайта, вече не съществува"
"Unable to find a sitemap to delete","Невъзможно намиране на карта на сайта за изтриване"
"Unable to find a sitemap to generate","Unable to find a sitemap to generate"
"Unable to generate a sitemap","Unable to generate a sitemap"
"Valid values range from 0.0 to 1.0","Valid values range from 0.0 to 1.0"
"Weekly","Седмично"
"Yearly","Годишно"
