"Action","Acci&oacute;n"
"All types","Todos los tipos"
"Backup file ""%s"" can't read or write","No es posible leer o escribir el backup ""%s""."
"Backup file ""%s"" doesn't exist","El backup ""%s"" no existe."
"Backup file doesn't exist","El archivo de backup no existe."
"Backup file handler don't specify","El backup no posee un handler"
"Backup file path don't specify","No se ha especificado una ruta."
"Backups","Backups"
"Cannot read backup file","No es posible leer el archivo de backup."
"Create Backup","Crear Backup"
"DB","DB"
"Database was successfuly backed up.","El backup de la base de datos ha sido realizado con &eacute;xito."
"Download","Descargar"
"Error write to Backup file ""%s""","Error al escribir el archivo de backup ""%s""."
"File compressed with Zlib, but this extension is not installed on server","El archivo esta comprimido con Zlib, pero la extensi&oacute;n no se encuentra instalada en el servidor."
"Size, byte","Tama&ntilde;o, byte"
"Time","Hora"
"Type","Tipo"
"Unable to create backup. Please, try again later.","No es posible crear el backup. Por favor, intente nuevamente en unos minutos."
"Wrong order of creation for new backup","Error en el orden de creaci&oacute;n para nuevos backups"
