"Actions","Operacje"
"Add Answer","Dodaj odpowiedź"
"Add New Answer","Dodaj nową odpowiedź"
"Add New Poll","Dodaj nową ankietę"
"Answer Title","Tytuł odpowiedzi"
"Answer Title:","Tytuł odpowiedzi:"
"Answer was successfully saved","Odpowiedź została zapisana"
"Answer with the same title in this poll","Odpowiedź z takim samym tytułem w ankiecie"
"Are you sure you want to delete it?","Czy na pewno skasować?"
"Assigned Answers","Przypisane odpowiedzi"
"Closed","Zamknięty"
"Community Poll","Ankieta"
"Date Closed","Data zamknięcia"
"Date Posted","Data opublikowania"
"Delete","Usuń"
"Delete Answer","Usuń odpowiedź"
"Delete Poll","Usuń ankietę"
"Disallow voting in a poll multiple times from same IP-address","Zabroń wielokrotnego głosowania z tego samego adrresu IP"
"Edit Answer '%s'","Edytuj odpowiedź '%s'"
"Edit Poll '%s'","Edycja ankiety '%s'"
"Edit Poll Answer","Edytuj pytanie do ankiety"
"ID","ID"
"Invalid Answer","Błędna odpowiedź"
"New Poll","Nowa ankieta"
"Number of Responses","Ilość odpowiedzi"
"Open","Otwarty"
"Poll Answers","Odpowiedzi do ankiety"
"Poll Information","Informacje o ankiecie"
"Poll Manager","Zarządzanie ankietami"
"Poll Question","Pytanie do ankiety"
"Poll information","Informacje o ankiecie"
"Poll not exists","Ankieta nie istnieje"
"Poll with the same question","Ankieta z takim samym pytaniem"
"Save Answer","Zapisz odpowiedź"
"Save Poll","Zapisz ankietę"
"Status","Status"
"Unable to find answer to delete.","Nie znaleziono odpowiedzi do usunięcia"
"Visible In","Widoczny w"
"Vote","Głosuj"
"Votes Count","Ilość głosów"
"Votes Count:","Ilość głosów:"
