"Action","Operacja"
"All types","Wszystkie rodzaje"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","Kopia zapasowa nie istnieje"
"Backup file handler don't specify","Uchwyt pliku kopii nie został wybrany"
"Backup file path don't specify","Ścieżka pliku kopii zapasowej nie została wybrana"
"Backups","Kopie zapasowe"
"Cannot read backup file","Nie można odczytać pliku kopii zapasowej"
"Create Backup","Wykonaj kopię"
"DB","baza danych"
"Database was successfuly backed up.","Baza danych została pomyślnie skopiowana."
"Download","Pobierz"
"Error write to Backup file ""%s""","Błąd zapisu pliku kopii ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Pliki są skompresowane Zlib, ale to rozszerzenie nie jest zainstalowane na serwerze"
"Size, byte","Rozmiar, bajty"
"Time","Czas"
"Type","Typ"
"Unable to create backup. Please, try again later.","Nie można utworzyć kopii. Proszę spróbować później."
"Wrong order of creation for new backup","Zła kolejność tworzenia dla nowej kopii zapasowej"
